2021-10-07 10:58:50 UTC Syncing #13371374 0xe810…22a0     0.20 blk/s   36.8 tx/s    2.7 Mgas/s      0+   23 Qed Ancient:#12752307 LI:#13371398   32/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:55 UTC Syncing #13371374 0xe810…22a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12752307 LI:#13371399   32/50 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:00 UTC Syncing #13371375 0xf7ab…ed55     0.20 blk/s   83.6 tx/s    5.8 Mgas/s      0+   23 Qed Ancient:#12752308 LI:#13371399   32/50 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:05 UTC Syncing #13371375 0xf7ab…ed55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12752308 LI:#13371399   32/50 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:10 UTC Syncing #13371378 0xb716…88e9     0.60 blk/s  108.6 tx/s    7.7 Mgas/s      0+   20 Qed Ancient:#12752311 LI:#13371399   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:15 UTC Syncing #13371378 0xb716…88e9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752311 LI:#13371399   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:20 UTC Syncing #13371379 0x9573…91b1     0.20 blk/s   51.0 tx/s    4.3 Mgas/s      0+   20 Qed Ancient:#12752312 LI:#13371400   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:25 UTC Syncing #13371381 0x4670…1e00     0.40 blk/s   59.4 tx/s    4.7 Mgas/s      0+   18 Qed Ancient:#12752314 LI:#13371400   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:30 UTC Syncing #13371383 0xfd04…975e     0.40 blk/s   39.8 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#12752316 LI:#13371400   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:35 UTC Syncing #13371384 0xa7bf…e487     0.20 blk/s   55.8 tx/s    4.0 Mgas/s      0+   15 Qed Ancient:#12752317 LI:#13371400   32/50 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:59:40 UTC Syncing #13371386 0xe37d…448a     0.40 blk/s   28.4 tx/s    1.8 Mgas/s      0+   13 Qed Ancient:#12752319 LI:#13371400   32/50 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
