2021-10-05 22:54:37 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12320175 LI:#13361804   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:54:42 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12320175 LI:#13361804   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:54:47 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:54:52 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:54:57 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:02 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:07 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:12 UTC Syncing #13361786 0x4b08…9e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320175 LI:#13361805   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:17 UTC Syncing #13361788 0x63e6…f6ab     0.40 blk/s   90.8 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12320177 LI:#13361806   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:22 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12320177 LI:#13361806   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:28 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12320177 LI:#13361807   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:32 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12320177 LI:#13361809   29/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:37 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12320177 LI:#13361809   29/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:43 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12320177 LI:#13361809   29/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:47 UTC Syncing #13361788 0x63e6…f6ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12320177 LI:#13361809   29/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:52 UTC Syncing #13361789 0x4b6c…e380     0.20 blk/s   61.8 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#12320178 LI:#13361810   29/50 peers      7 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:55:58 UTC Syncing #13361789 0x4b6c…e380     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12320178 LI:#13361811   29/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
