2021-10-05 23:09:38 UTC Syncing #13361865 0xd6ff…763a     0.20 blk/s   36.4 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#12322124 LI:#13361873   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:09:43 UTC Syncing #13361865 0xd6ff…763a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12322124 LI:#13361873   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:09:48 UTC Syncing #13361866 0x0e1b…beb8     0.20 blk/s   78.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12322125 LI:#13361873   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:09:53 UTC Syncing #13361866 0x0e1b…beb8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12322125 LI:#13361873   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:09:58 UTC Syncing #13361868 0xc37c…9df9     0.40 blk/s   55.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12322127 LI:#13361874   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:03 UTC Syncing #13361870 0x54c2…9324     0.40 blk/s   36.2 tx/s    4.7 Mgas/s      0+    4 Qed Ancient:#12322129 LI:#13361875   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:08 UTC Syncing #13361870 0x54c2…9324     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12322129 LI:#13361877   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:13 UTC Syncing #13361872 0x7e51…4a71     0.40 blk/s   66.6 tx/s    5.3 Mgas/s      0+    5 Qed Ancient:#12322130 LI:#13361877   29/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:18 UTC Syncing #13361872 0x7e51…4a71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12322131 LI:#13361877   29/50 peers      8 MiB chain  986 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:23 UTC Syncing #13361872 0x7e51…4a71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12322131 LI:#13361877   29/50 peers      8 MiB chain  986 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:53 UTC  Ancient:#12322137 AB:#12325449   28/50 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:10:57 UTC Imported #13361879 0xaa07…9c98 (117 txs, 11.28 Mgas, 4516 ms, 105.23 KiB)
2021-10-05 23:11:06 UTC Imported #13361880 0x6346…73b1 (109 txs, 8.46 Mgas, 3749 ms, 54.91 KiB)
2021-10-05 23:11:26 UTC  Ancient:#12323420 AB:#12326475   28/50 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:11:58 UTC  Ancient:#12323558 AB:#12327051   26/50 peers      7 MiB chain  508 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:12:13 UTC Syncing #13361880 0x6346…73b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12323558 LI:#13361885   32/50 peers      6 MiB chain  903 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:12:18 UTC Syncing #13361880 0x6346…73b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12323558 LI:#13361885   33/50 peers      6 MiB chain  903 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
