2021-10-05 23:14:43 UTC Syncing #13361884 0x5c61…ac9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323562 LI:#13361893   26/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:48 UTC Syncing #13361884 0x5c61…ac9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323562 LI:#13361893   26/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:53 UTC Syncing #13361885 0x889e…b5f0     0.20 blk/s   40.4 tx/s    3.7 Mgas/s      0+    8 Qed Ancient:#12323563 LI:#13361893   26/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:58 UTC Syncing #13361886 0xb68b…228f     0.20 blk/s   18.4 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#12323564 LI:#13361893   27/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:03 UTC Syncing #13361886 0xb68b…228f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323564 LI:#13361893   27/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:08 UTC Syncing #13361886 0xb68b…228f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323564 LI:#13361893   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:13 UTC Syncing #13361886 0xb68b…228f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12323564 LI:#13361893   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:18 UTC Syncing #13361886 0xb68b…228f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323564 LI:#13361894   28/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:23 UTC Syncing #13361886 0xb68b…228f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323564 LI:#13361894   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:28 UTC Syncing #13361887 0x8eb0…d744     0.20 blk/s   44.0 tx/s    5.4 Mgas/s      0+    8 Qed Ancient:#12323565 LI:#13361895   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:33 UTC Syncing #13361887 0x8eb0…d744     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323565 LI:#13361895   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:38 UTC Syncing #13361887 0x8eb0…d744     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323565 LI:#13361896   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:43 UTC Syncing #13361887 0x8eb0…d744     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323565 LI:#13361898   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:48 UTC Syncing #13361887 0x8eb0…d744     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323565 LI:#13361899   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:53 UTC Syncing #13361888 0x1329…72e6     0.20 blk/s   80.4 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12323566 LI:#13361899   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:15:58 UTC Syncing #13361889 0x997b…e4fe     0.20 blk/s    2.6 tx/s    1.1 Mgas/s      0+   10 Qed Ancient:#12323567 LI:#13361899   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:03 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12323567 LI:#13361899   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:08 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12323567 LI:#13361899   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:13 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323567 LI:#13361900   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:18 UTC Syncing #13361889 0x997b…e4fe     0.20 blk/s   75.0 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12323568 LI:#13361900   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:23 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323568 LI:#13361901   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:28 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323568 LI:#13361901   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:33 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323568 LI:#13361901   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:16:38 UTC Syncing #13361889 0x997b…e4fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323568 LI:#13361901   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
