2021-10-07 10:53:50 UTC Syncing #13371353 0x4b37…b0e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752281 LI:#13371372   28/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:53:55 UTC Syncing #13371353 0x4b37…b0e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752281 LI:#13371372   29/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:00 UTC Syncing #13371353 0x4b37…b0e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752281 LI:#13371372   29/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:05 UTC Syncing #13371354 0x6b06…653b     0.20 blk/s   93.8 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12752282 LI:#13371372   29/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:10 UTC Syncing #13371354 0x6b06…653b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752282 LI:#13371373   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:15 UTC Syncing #13371354 0x6b06…653b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752282 LI:#13371373   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:20 UTC Syncing #13371354 0x6b06…653b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752282 LI:#13371373   29/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:25 UTC Syncing #13371354 0x6b06…653b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12752282 LI:#13371374   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:30 UTC Syncing #13371355 0x976d…4682     0.20 blk/s   45.4 tx/s    4.1 Mgas/s      0+   20 Qed Ancient:#12752283 LI:#13371374   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:35 UTC Syncing #13371356 0x7a52…b86d     0.20 blk/s   19.0 tx/s    1.3 Mgas/s      0+   19 Qed Ancient:#12752284 LI:#13371374   31/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:40 UTC Syncing #13371357 0xd302…b646     0.20 blk/s   18.2 tx/s    1.1 Mgas/s      0+   19 Qed Ancient:#12752284 LI:#13371374   31/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:45 UTC Syncing #13371358 0x9a6c…2ad9     0.20 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752286 LI:#13371374   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:50 UTC Syncing #13371358 0x9a6c…2ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752286 LI:#13371374   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:54:55 UTC Syncing #13371358 0x9a6c…2ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752286 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:00 UTC Syncing #13371358 0x9a6c…2ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752286 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:05 UTC Syncing #13371358 0x9a6c…2ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752286 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:10 UTC Syncing #13371358 0x9a6c…2ad9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12752286 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:15 UTC Syncing #13371359 0xc9b6…b358     0.20 blk/s  103.4 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12752288 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:20 UTC Syncing #13371359 0xc9b6…b358     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752288 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:25 UTC Syncing #13371359 0xc9b6…b358     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12752288 LI:#13371375   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:30 UTC Syncing #13371361 0xc33b…541f     0.60 blk/s   77.6 tx/s    5.7 Mgas/s      0+   15 Qed Ancient:#12752291 LI:#13371376   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:55:35 UTC Syncing #13371361 0xc33b…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12752291 LI:#13371377   31/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
