2021-10-08 01:36:14 UTC Syncing #13375303 0x5583…128e     0.40 blk/s   31.8 tx/s    2.7 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:19 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    2/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:23 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    2/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:29 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939955 LI:#13375330    3/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:33 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12939955 LI:#13375331    5/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:38 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12939955 LI:#13375332    7/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:43 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12939955 LI:#13375333    9/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:36:48 UTC Syncing #13375303 0x5583…128e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12939955 LI:#13375333   12/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:06 UTC Syncing #13375304 0x9cf8…fd20     0.07 blk/s   25.9 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12939956 LI:#13375334   10/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:06 UTC Syncing #13375304 0x9cf8…fd20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940093 LI:#13375334   10/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:38 UTC Syncing #13375304 0x9cf8…fd20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12940094 LI:#13375336   11/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:37:48 UTC Syncing #13375304 0x9cf8…fd20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12940094 LI:#13375336   11/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:02 UTC Syncing #13375306 0xed7e…5a3d     0.40 blk/s   61.0 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#12940096 LI:#13375336   10/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:02 UTC Syncing #13375306 0xed7e…5a3d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12940096 LI:#13375337   10/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:12 UTC Syncing #13375307 0x01a6…f215     0.17 blk/s   56.9 tx/s    3.5 Mgas/s      0+   30 Qed Ancient:#12940097 LI:#13375337   10/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:21 UTC Syncing #13375308 0xb24c…2bde     0.20 blk/s   15.6 tx/s    1.0 Mgas/s      0+   29 Qed Ancient:#12940098 LI:#13375337    9/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:21 UTC Syncing #13375308 0xb24c…2bde     0.10 blk/s    7.8 tx/s    0.5 Mgas/s      0+   29 Qed Ancient:#12940098 LI:#13375337    9/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:27 UTC Syncing #13375308 0xb24c…2bde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12940098 LI:#13375337    9/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:29 UTC Syncing #13375308 0xb24c…2bde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940098 LI:#13375339    8/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:40 UTC Syncing #13375308 0xb24c…2bde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12940098 LI:#13375340    8/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:40 UTC Syncing #13375308 0xb24c…2bde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12940098 LI:#13375340    8/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:43 UTC Syncing #13375308 0xb24c…2bde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12940098 LI:#13375340    7/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:56 UTC Syncing #13375309 0x25f5…0e98     0.10 blk/s   45.3 tx/s    3.0 Mgas/s      0+   32 Qed Ancient:#12940099 LI:#13375340    7/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:38:56 UTC Syncing #13375309 0x25f5…0e98     0.20 blk/s   90.6 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12940099 LI:#13375340    7/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:05 UTC Syncing #13375310 0xae58…2695     0.10 blk/s   19.7 tx/s    1.8 Mgas/s      0+   31 Qed Ancient:#12940100 LI:#13375340    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:05 UTC Syncing #13375310 0xae58…2695     0.20 blk/s   39.4 tx/s    3.6 Mgas/s      0+   31 Qed Ancient:#12940100 LI:#13375340    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:08 UTC Syncing #13375310 0xae58…2695     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940100 LI:#13375340    7/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:17 UTC Syncing #13375311 0x12af…7597     0.20 blk/s   38.0 tx/s    2.8 Mgas/s      0+   33 Qed Ancient:#12940101 LI:#13375343    5/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:29 UTC Syncing #13375313 0xe90c…7c6c     0.13 blk/s    1.3 tx/s    0.1 Mgas/s      0+   31 Qed Ancient:#12940103 LI:#13375343    5/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:29 UTC Syncing #13375313 0xe90c…7c6c     0.40 blk/s    3.8 tx/s    0.3 Mgas/s      0+   31 Qed Ancient:#12940103 LI:#13375343    5/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:29 UTC Syncing #13375313 0xe90c…7c6c     0.20 blk/s    1.9 tx/s    0.2 Mgas/s      0+   31 Qed Ancient:#12940103 LI:#13375343    5/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:39 UTC Syncing #13375313 0xe90c…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940103 LI:#13375343    5/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:39 UTC Syncing #13375313 0xe90c…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12940103 LI:#13375343    5/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:52 UTC Syncing #13375315 0x0dff…65ea     0.40 blk/s   76.4 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:52 UTC Syncing #13375315 0x0dff…65ea     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:53 UTC Syncing #13375315 0x0dff…65ea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:58 UTC Syncing #13375315 0x0dff…65ea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.10 blk/s   42.0 tx/s    3.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.20 blk/s   84.0 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:18 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:23 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:28 UTC Syncing #13375317 0x67e9…07c9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:34 UTC Syncing #13375317 0x67e9…07c9     0.20 blk/s   66.8 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12940109 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:38 UTC Syncing #13375317 0x67e9…07c9     0.20 blk/s   59.2 tx/s    5.9 Mgas/s      0+   32 Qed Ancient:#12940110 LI:#13375349    2/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
