2021-10-06 05:34:00 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12414392 LI:#13363603    0/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:04 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12414392 LI:#13363603    0/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:04 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12414392 LI:#13363603    0/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:07 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12414392 LI:#13363603    0/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:11 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:16 UTC Syncing #13363590 0x19bd…9879     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:21 UTC Syncing #13363592 0xd87b…1486     0.40 blk/s   30.6 tx/s    5.8 Mgas/s      0+   10 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:26 UTC Syncing #13363592 0xd87b…1486     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:31 UTC Syncing #13363594 0x788f…9cb9     0.40 blk/s   73.2 tx/s    4.2 Mgas/s      0+    8 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:36 UTC Syncing #13363595 0xdac8…0133     0.20 blk/s   14.0 tx/s    1.4 Mgas/s      0+    7 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:41 UTC Syncing #13363597 0x842a…b86d     0.40 blk/s   34.6 tx/s    3.3 Mgas/s      0+    5 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:46 UTC Syncing #13363597 0x842a…b86d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:51 UTC Syncing #13363598 0xa33a…140d     0.20 blk/s   46.8 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:34:56 UTC Syncing #13363598 0xa33a…140d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363603    0/25 peers      5 MiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:35:15 UTC Imported #13363603 0x402d…c633 (126 txs, 8.34 Mgas, 3961 ms, 36.56 KiB)
2021-10-06 05:35:26 UTC  Ancient:#12414392 AB:#12414392    0/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:35:52 UTC Syncing #13363603 0x402d…c633     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#12414392 LI:#13363603    1/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:35:56 UTC Syncing #13363603 0x402d…c633     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#12414392 LI:#13363603    4/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:02 UTC Syncing #13363604 0xb70b…ff2b     0.20 blk/s   15.0 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#12414392 LI:#13363610    7/25 peers      5 MiB chain  876 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:08 UTC Syncing #13363604 0xb70b…ff2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12414392 LI:#13363610    5/25 peers      5 MiB chain  876 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:13 UTC Syncing #13363605 0x0028…769b     0.20 blk/s   26.2 tx/s    3.3 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363610    4/25 peers      5 MiB chain  645 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:16 UTC Syncing #13363605 0x0028…769b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363610    3/25 peers      5 MiB chain  645 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:21 UTC Syncing #13363606 0x2f24…ad3b     0.20 blk/s   38.8 tx/s    3.4 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363611    3/25 peers      5 MiB chain  875 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:26 UTC Syncing #13363606 0x2f24…ad3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12414392 LI:#13363611    3/25 peers      5 MiB chain  875 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:36:56 UTC  Ancient:#12414396 AB:#12414582    4/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:37:25 UTC Imported #13363611 0x1252…d25b (304 txs, 29.98 Mgas, 19529 ms, 122.88 KiB)
2021-10-06 05:37:46 UTC  Ancient:#12414582 AB:#12414582    1/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:38:44 UTC  Ancient:#12414582 AB:#12414582    1/25 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:38:44 UTC  Ancient:#12414582 AB:#12414582    1/25 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:38:44 UTC  Ancient:#12414582 AB:#12414582    1/25 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:39:16 UTC  Ancient:#12414582 AB:#12414582    0/25 peers   984 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:39:31 UTC Syncing #13363611 0x1252…d25b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12414582 LI:#13363624    2/25 peers     77 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:39:36 UTC Syncing #13363611 0x1252…d25b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12414582 LI:#13363624    4/25 peers     77 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
