2021-10-08 01:30:59 UTC Syncing #13375286 0xd295…6a2c     0.20 blk/s   23.8 tx/s    2.0 Mgas/s      0+    0 Qed Ancient:#12939200 LI:#13375286    2/25 peers     18 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:13 UTC  Ancient:#12939912 AB:#12939936    1/25 peers    284 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:23 UTC Syncing #13375286 0xd295…6a2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12939936 LI:#13375308    2/25 peers    641 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:28 UTC Syncing #13375286 0xd295…6a2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12939936 LI:#13375308    5/25 peers    641 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:33 UTC Syncing #13375286 0xd295…6a2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12939936 LI:#13375308    6/25 peers    641 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:39 UTC Syncing #13375286 0xd295…6a2c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12939936 LI:#13375308    7/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:51 UTC Syncing #13375287 0xf088…12f0     0.20 blk/s   48.8 tx/s    5.1 Mgas/s      0+   20 Qed Ancient:#12939937 LI:#13375308    8/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:31:51 UTC Syncing #13375287 0xf088…12f0     0.10 blk/s   24.4 tx/s    2.5 Mgas/s      0+   20 Qed Ancient:#12939937 LI:#13375308    8/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:02 UTC Syncing #13375288 0xf48e…c8b9     0.20 blk/s   33.6 tx/s    2.5 Mgas/s      0+   21 Qed Ancient:#12939938 LI:#13375310    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:02 UTC Syncing #13375288 0xf48e…c8b9     0.10 blk/s   16.8 tx/s    1.2 Mgas/s      0+   21 Qed Ancient:#12939938 LI:#13375310    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:14 UTC Syncing #13375290 0x078d…ade6     0.20 blk/s   24.1 tx/s    1.9 Mgas/s      0+   20 Qed Ancient:#12939941 LI:#13375311    2/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:14 UTC Syncing #13375289 0xdf5b…6586     0.20 blk/s   29.8 tx/s    2.1 Mgas/s      0+   21 Qed Ancient:#12939939 LI:#13375311    2/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:14 UTC Syncing #13375290 0x078d…ade6     0.07 blk/s    6.1 tx/s    0.6 Mgas/s      0+   20 Qed Ancient:#12939941 LI:#13375311    2/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:25 UTC Syncing #13375292 0xcbd8…b274     0.20 blk/s   14.4 tx/s    1.0 Mgas/s      0+   18 Qed Ancient:#12939944 LI:#13375311    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:25 UTC Syncing #13375291 0x3844…1edc     0.20 blk/s    6.4 tx/s    0.3 Mgas/s      0+   19 Qed Ancient:#12939943 LI:#13375311    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:32 UTC Syncing #13375292 0xcbd8…b274     0.20 blk/s   22.4 tx/s    1.7 Mgas/s      0+   18 Qed Ancient:#12939944 LI:#13375311    2/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:33 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12939944 LI:#13375315    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:38 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12939944 LI:#13375315    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:43 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12939944 LI:#13375316    3/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:48 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939944 LI:#13375318    3/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:53 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939944 LI:#13375318    3/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:32:58 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12939944 LI:#13375318    3/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:03 UTC Syncing #13375292 0xcbd8…b274     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12939944 LI:#13375319    4/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:33:18 UTC Syncing #13375293 0x618f…5c72     0.10 blk/s   43.5 tx/s    3.0 Mgas/s      0+   26 Qed Ancient:#12939945 LI:#13375319    6/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
