2021-10-06 05:49:24 UTC Syncing #13363661 0x73d7…b43b     0.20 blk/s  101.4 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12415031 LI:#13363677   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:49:29 UTC Syncing #13363661 0x73d7…b43b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415031 LI:#13363677   24/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:49:34 UTC Syncing #13363661 0x73d7…b43b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12415031 LI:#13363677   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:49:41 UTC Syncing #13363663 0xa45f…8483     0.40 blk/s   52.6 tx/s    3.6 Mgas/s      0+   17 Qed Ancient:#12415034 LI:#13363678   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:49:47 UTC Syncing #13363663 0xa45f…8483     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415034 LI:#13363678   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:49:49 UTC Syncing #13363663 0xa45f…8483     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415034 LI:#13363678   25/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:01 UTC Syncing #13363665 0xde73…849f     0.20 blk/s   41.1 tx/s    2.0 Mgas/s      0+   16 Qed Ancient:#12415078 LI:#13363678   26/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:01 UTC Syncing #13363664 0x4be4…fa75     0.20 blk/s   54.6 tx/s    2.9 Mgas/s      0+   16 Qed Ancient:#12415035 LI:#13363678   26/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:08 UTC Syncing #13363665 0xde73…849f     0.21 blk/s   29.9 tx/s    1.2 Mgas/s      0+   16 Qed Ancient:#12415078 LI:#13363679   25/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:09 UTC Syncing #13363665 0xde73…849f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415079 LI:#13363679   25/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:29 UTC Syncing #13363666 0x6ea9…c922     0.06 blk/s   36.5 tx/s    1.8 Mgas/s      0+   16 Qed Ancient:#12415079 LI:#13363679   25/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:30 UTC Syncing #13363666 0x6ea9…c922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415117 LI:#13363679   25/25 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:44 UTC Syncing #13363666 0x6ea9…c922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415118 LI:#13363680   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:44 UTC Syncing #13363666 0x6ea9…c922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12415118 LI:#13363680   25/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:51 UTC Syncing #13363666 0x6ea9…c922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415118 LI:#13363681   22/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:50:54 UTC Syncing #13363666 0x6ea9…c922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12415118 LI:#13363681   21/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
