2021-10-08 02:50:20 UTC Syncing #13375616 0x0bb6…0560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12955684 LI:#13375637    9/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:50:26 UTC Syncing #13375616 0x0bb6…0560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12955684 LI:#13375637   13/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:50:45 UTC Syncing #13375616 0x0bb6…0560     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12955684 LI:#13375637   16/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:51:17 UTC Syncing #13375617 0x305d…2bbe     0.03 blk/s    6.3 tx/s    0.8 Mgas/s      0+   22 Qed Ancient:#12955979 LI:#13375639   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:51:17 UTC Syncing #13375617 0x305d…2bbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12956188 LI:#13375639   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:51:40 UTC Syncing #13375617 0x305d…2bbe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12956189 LI:#13375642   10/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:51:40 UTC Syncing #13375618 0xc544…217f     0.05 blk/s   12.2 tx/s    0.7 Mgas/s      0+   24 Qed Ancient:#12956226 LI:#13375642   10/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:51:40 UTC Syncing #13375618 0xc544…217f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12956226 LI:#13375642   10/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:52:28 UTC Syncing #13375618 0xc544…217f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12956770 LI:#13375645    7/25 peers    0 bytes chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:52:28 UTC Syncing #13375618 0xc544…217f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12956806 LI:#13375645    7/25 peers    574 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:00 UTC Syncing #13375618 0xc544…217f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12957930 LI:#13375647    6/25 peers     18 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:10 UTC Syncing #13375619 0xc09d…d5f3     0.11 blk/s    9.7 tx/s    0.6 Mgas/s      0+   29 Qed Ancient:#12957932 LI:#13375647    6/25 peers    145 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:23 UTC Syncing #13375619 0xc09d…d5f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12957957 LI:#13375647    3/25 peers    638 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:29 UTC Syncing #13375619 0xc09d…d5f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12957957 LI:#13375647    3/25 peers    638 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:37 UTC Syncing #13375620 0xffc5…a673     0.20 blk/s   49.0 tx/s    3.2 Mgas/s      0+   27 Qed Ancient:#12957958 LI:#13375647    3/25 peers    638 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:37 UTC Syncing #13375621 0x512f…4a18     0.15 blk/s    6.5 tx/s    0.3 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    3/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:47 UTC Syncing #13375621 0x512f…4a18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    3/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:53:47 UTC Syncing #13375621 0x512f…4a18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    3/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:00 UTC Syncing #13375621 0x512f…4a18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    1/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:00 UTC Syncing #13375621 0x512f…4a18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    1/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:00 UTC Syncing #13375621 0x512f…4a18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12957959 LI:#13375647    1/25 peers    638 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:19 UTC Syncing #13375622 0x328c…c7d4     0.20 blk/s  117.2 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:19 UTC Syncing #13375622 0x328c…c7d4     0.10 blk/s   58.6 tx/s    3.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:19 UTC Syncing #13375622 0x328c…c7d4     0.07 blk/s   39.1 tx/s    2.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:20 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:25 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:30 UTC Syncing #13375622 0x328c…c7d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12957961 LI:#13375647    1/25 peers      1 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.20 blk/s   82.0 tx/s    5.0 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.10 blk/s   41.0 tx/s    2.5 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:48 UTC Syncing #13375623 0x115e…3498     0.07 blk/s   27.3 tx/s    1.7 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    1/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:50 UTC Syncing #13375623 0x115e…3498     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12957962 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:54:55 UTC Syncing #13375624 0x2c63…b0d8     0.20 blk/s   42.2 tx/s    2.5 Mgas/s      0+   23 Qed Ancient:#12957963 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 02:55:00 UTC Syncing #13375625 0xd293…2808     0.20 blk/s    2.6 tx/s    0.3 Mgas/s      0+   22 Qed Ancient:#12957964 LI:#13375647    0/25 peers      1 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
