2021-10-07 12:19:33 UTC Syncing #13371777 0x3bf4…477b     0.10 blk/s   12.5 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:33 UTC Syncing #13371777 0x3bf4…477b     0.20 blk/s   25.0 tx/s    1.9 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:38 UTC Syncing #13371777 0x3bf4…477b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371778 0xe1f4…dd9f     0.20 blk/s   28.4 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#12766449 LI:#13371786   32/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371779 0x2ee4…3908     0.20 blk/s   18.1 tx/s    1.3 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   31/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371779 0x2ee4…3908     0.10 blk/s    3.9 tx/s    0.3 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   31/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:58 UTC Syncing #13371779 0x2ee4…3908     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:04 UTC Syncing #13371780 0x3366…75a5     0.20 blk/s   60.0 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#12766451 LI:#13371786   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:12 UTC Syncing #13371781 0xdb2e…83b1     0.20 blk/s   17.6 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#12766452 LI:#13371786   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:13 UTC Syncing #13371781 0xdb2e…83b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766452 LI:#13371786   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:18 UTC Syncing #13371781 0xdb2e…83b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766452 LI:#13371786   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:23 UTC Syncing #13371781 0xdb2e…83b1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766452 LI:#13371787   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:31 UTC Syncing #13371782 0x825a…cc75     0.20 blk/s   83.6 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12766453 LI:#13371787   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:33 UTC Syncing #13371782 0x825a…cc75     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766453 LI:#13371787   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:38 UTC Syncing #13371782 0x825a…cc75     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766453 LI:#13371788   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:47 UTC Syncing #13371784 0x889a…695e     0.40 blk/s   55.0 tx/s    4.3 Mgas/s      0+    4 Qed Ancient:#12766455 LI:#13371789   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:51 UTC Syncing #13371784 0x889a…695e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766455 LI:#13371789   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:53 UTC Syncing #13371784 0x889a…695e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766455 LI:#13371789   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:58 UTC Syncing #13371784 0x889a…695e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12766455 LI:#13371789   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:03 UTC Syncing #13371784 0x889a…695e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766455 LI:#13371790   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:08 UTC Syncing #13371784 0x889a…695e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12766455 LI:#13371790   29/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:23 UTC Syncing #13371785 0xef66…47b6     0.10 blk/s   39.5 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#12766456 LI:#13371791   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:23 UTC Syncing #13371785 0xef66…47b6     0.20 blk/s   79.0 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12766456 LI:#13371791   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:23 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:37 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:37 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:38 UTC Syncing #13371785 0xef66…47b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766456 LI:#13371792   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:21:48 UTC Syncing #13371786 0xcef5…625d     0.20 blk/s   75.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12766458 LI:#13371792   29/50 peers      5 MiB chain  836 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
