2021-10-05 23:29:34 UTC Syncing #13361953 0x3f84…cad1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12326084 LI:#13361975   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:29:38 UTC Syncing #13361953 0x3f84…cad1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12326084 LI:#13361977   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:29:43 UTC Syncing #13361953 0x3f84…cad1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12326084 LI:#13361978   14/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:29:52 UTC Syncing #13361954 0x4ceb…7c6c     0.20 blk/s  111.4 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12326085 LI:#13361978   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:29:53 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12326085 LI:#13361978   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:29:59 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12326085 LI:#13361979   14/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:30:04 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12326085 LI:#13361981   16/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:30:08 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12326085 LI:#13361982   22/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:30:13 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12326085 LI:#13361982   24/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:30:18 UTC Syncing #13361954 0x4ceb…7c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12326085 LI:#13361982   24/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:31:01 UTC Syncing #13361955 0x1a36…0885     0.02 blk/s   11.6 tx/s    0.7 Mgas/s      0+   30 Qed Ancient:#12326085 LI:#13361985   23/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:31:22 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12326303 LI:#13361986   23/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:31:29 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12326435 LI:#13361986   22/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:01 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12327026 LI:#13361988   25/25 peers     36 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:20 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12327339 LI:#13361989   22/25 peers    0 bytes chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:20 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12327488 LI:#13361989   22/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:39 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12327489 LI:#13361991   21/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:39 UTC Syncing #13361955 0x1a36…0885     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12327489 LI:#13361991   21/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:51 UTC Syncing #13361956 0x8ebd…649f     0.23 blk/s   36.6 tx/s    2.1 Mgas/s      0+   34 Qed Ancient:#12327490 LI:#13361991   21/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:32:51 UTC Syncing #13361956 0x8ebd…649f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12327490 LI:#13361991   21/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
