2021-10-05 23:44:49 UTC Syncing #13362029 0xe432…7abd     0.60 blk/s   35.2 tx/s    5.4 Mgas/s      0+   15 Qed Ancient:#12327567 LI:#13362044   11/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:44:54 UTC Syncing #13362030 0x14aa…14c5     0.20 blk/s   80.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#12327568 LI:#13362044   10/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:44:58 UTC Syncing #13362030 0x14aa…14c5     0.20 blk/s   80.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#12327569 LI:#13362045   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:06 UTC Syncing #13362032 0x8347…a0d7     0.40 blk/s   54.0 tx/s    4.9 Mgas/s      0+   12 Qed Ancient:#12327571 LI:#13362045   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:14 UTC Syncing #13362033 0xbaea…591b     0.20 blk/s   33.8 tx/s    5.4 Mgas/s      0+   14 Qed Ancient:#12327572 LI:#13362048   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:14 UTC Syncing #13362034 0x1f36…1438     0.20 blk/s   25.1 tx/s    3.4 Mgas/s      0+   13 Qed Ancient:#12327573 LI:#13362048   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:22 UTC Syncing #13362034 0x1f36…1438     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12327573 LI:#13362049    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:29 UTC Syncing #13362035 0x91b4…46ea     0.10 blk/s   29.9 tx/s    2.4 Mgas/s      0+   13 Qed Ancient:#12327574 LI:#13362049    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:29 UTC Syncing #13362035 0x91b4…46ea     0.20 blk/s   59.8 tx/s    4.8 Mgas/s      0+   13 Qed Ancient:#12327574 LI:#13362049    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:37 UTC Syncing #13362037 0x26a6…e5ae     0.40 blk/s   93.2 tx/s    6.2 Mgas/s      0+   11 Qed Ancient:#12327576 LI:#13362049    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:43 UTC Syncing #13362039 0x24b9…c976     0.40 blk/s   28.0 tx/s    4.9 Mgas/s      0+   10 Qed Ancient:#12327578 LI:#13362050    7/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:57 UTC Syncing #13362040 0xe0a3…9225     0.20 blk/s   28.6 tx/s    2.3 Mgas/s      0+    9 Qed Ancient:#12327579 LI:#13362050    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:57 UTC Syncing #13362041 0x61ec…22db     0.20 blk/s   48.6 tx/s    4.1 Mgas/s      0+    8 Qed Ancient:#12327580 LI:#13362051    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:45:57 UTC Syncing #13362042 0xd118…3680     0.20 blk/s   34.9 tx/s    3.1 Mgas/s      0+    7 Qed Ancient:#12327581 LI:#13362051    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:03 UTC Syncing #13362044 0x7ea1…7943     0.40 blk/s   54.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12327583 LI:#13362051    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:09 UTC Syncing #13362045 0x9401…bc42     0.10 blk/s   30.1 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#12327584 LI:#13362052    5/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:09 UTC Syncing #13362044 0x7ea1…7943     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12327583 LI:#13362052    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:16 UTC Syncing #13362045 0x9401…bc42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12327584 LI:#13362052    5/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:23 UTC Syncing #13362047 0xd94a…5887     0.40 blk/s   62.6 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12327586 LI:#13362054    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:30 UTC Syncing #13362049 0xde7f…42af     0.20 blk/s   18.4 tx/s    2.7 Mgas/s      0+    5 Qed Ancient:#12327588 LI:#13362055    2/25 peers      5 MiB chain  801 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:30 UTC Syncing #13362048 0xfdbb…770e     0.20 blk/s   31.0 tx/s    3.4 Mgas/s      0+    6 Qed Ancient:#12327587 LI:#13362055    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:46:36 UTC Syncing #13362050 0x2bcc…d1b4     0.40 blk/s   70.2 tx/s    8.0 Mgas/s      0+    4 Qed Ancient:#12327589 LI:#13362055    2/25 peers      5 MiB chain  482 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:47:09 UTC  Ancient:#12329459 AB:#12330827    2/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:47:09 UTC  Ancient:#12329459 AB:#12330827    2/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:47:09 UTC Imported #13362055 0x097d…83dc (92 txs, 13.77 Mgas, 3180 ms, 37.10 KiB)
2021-10-05 23:47:50 UTC Imported #13362056 0x3681…0123 (695 txs, 30.02 Mgas, 9460 ms, 145.11 KiB)
2021-10-05 23:47:54 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:47:54 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      2 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:48:28 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:48:58 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:49:38 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:49:38 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:04 UTC Syncing #13362056 0x3681…0123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#12330827 LI:#13362056    3/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:09 UTC Syncing #13362056 0x3681…0123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12330827 LI:#13362066    5/25 peers     78 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:19 UTC Syncing #13362057 0xe121…bff6     0.10 blk/s    6.3 tx/s    0.3 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    4/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:19 UTC Syncing #13362057 0xe121…bff6     0.20 blk/s   12.6 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    4/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:24 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    3/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:29 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    5/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:35 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    6/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
