2021-10-05 23:49:38 UTC  Ancient:#12330827 AB:#12330827    0/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:04 UTC Syncing #13362056 0x3681…0123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#12330827 LI:#13362056    3/25 peers      5 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:09 UTC Syncing #13362056 0x3681…0123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12330827 LI:#13362066    5/25 peers     78 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:19 UTC Syncing #13362057 0xe121…bff6     0.10 blk/s    6.3 tx/s    0.3 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    4/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:19 UTC Syncing #13362057 0xe121…bff6     0.20 blk/s   12.6 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    4/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:24 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    3/25 peers    214 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:29 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    5/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:35 UTC Syncing #13362057 0xe121…bff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330830 LI:#13362066    6/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:45 UTC Syncing #13362058 0x075b…8995     0.10 blk/s   24.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#12330832 LI:#13362066    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:45 UTC Syncing #13362058 0x075b…8995     0.20 blk/s   49.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12330832 LI:#13362066    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:49 UTC Syncing #13362058 0x075b…8995     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330832 LI:#13362067    6/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:54 UTC Syncing #13362058 0x075b…8995     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330832 LI:#13362067    7/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:50:59 UTC Syncing #13362058 0x075b…8995     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330832 LI:#13362067   10/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:04 UTC Syncing #13362058 0x075b…8995     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12330832 LI:#13362068   12/25 peers    215 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:15 UTC Syncing #13362059 0x357d…783f     0.20 blk/s   59.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12330833 LI:#13362068   12/25 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:15 UTC Syncing #13362059 0x357d…783f     0.10 blk/s   29.9 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#12330833 LI:#13362068   12/25 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:19 UTC Syncing #13362059 0x357d…783f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12330833 LI:#13362069   12/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:24 UTC Syncing #13362059 0x357d…783f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12330833 LI:#13362069   19/25 peers    356 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:31 UTC Syncing #13362063 0xa0db…69d9     0.80 blk/s   73.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12330837 LI:#13362069   20/25 peers    912 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:34 UTC Syncing #13362063 0xa0db…69d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12330837 LI:#13362069   20/25 peers    912 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:40 UTC Syncing #13362063 0xa0db…69d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12330837 LI:#13362070   22/25 peers    912 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:45 UTC Syncing #13362063 0xa0db…69d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330837 LI:#13362071   22/25 peers    912 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:50 UTC Syncing #13362063 0xa0db…69d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330837 LI:#13362071   23/25 peers    913 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:51:54 UTC Syncing #13362063 0xa0db…69d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330837 LI:#13362071   22/25 peers    913 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:02 UTC Syncing #13362064 0x186d…7e80     0.20 blk/s   97.8 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12330838 LI:#13362071   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:04 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   21/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:09 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:14 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:52:19 UTC Syncing #13362064 0x186d…7e80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330838 LI:#13362072   22/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
