2021-10-07 12:14:23 UTC Syncing #13371755 0xa219…2e64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766424 LI:#13371766   30/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:28 UTC Syncing #13371755 0xa219…2e64     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766424 LI:#13371766   30/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:33 UTC Syncing #13371756 0xa457…58a0     0.20 blk/s   90.2 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12766425 LI:#13371766   30/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:38 UTC Syncing #13371756 0xa457…58a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766425 LI:#13371767   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:43 UTC Syncing #13371756 0xa457…58a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12766425 LI:#13371768   29/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:48 UTC Syncing #13371756 0xa457…58a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12766425 LI:#13371768   31/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:14:53 UTC Syncing #13371757 0x0ae4…6af9     0.20 blk/s   26.2 tx/s    2.6 Mgas/s      0+   12 Qed Ancient:#12766426 LI:#13371769   31/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:05 UTC Syncing #13371758 0xfa87…18e1     0.20 blk/s    3.8 tx/s    0.3 Mgas/s      0+   11 Qed Ancient:#12766427 LI:#13371769   31/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:05 UTC Syncing #13371758 0xfa87…18e1     0.10 blk/s    1.9 tx/s    0.2 Mgas/s      0+   11 Qed Ancient:#12766427 LI:#13371769   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:08 UTC Syncing #13371758 0xfa87…18e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12766427 LI:#13371770   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:13 UTC Syncing #13371758 0xfa87…18e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12766427 LI:#13371770   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:18 UTC Syncing #13371758 0xfa87…18e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12766427 LI:#13371771   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:23 UTC Syncing #13371759 0xa8d4…9dc8     0.20 blk/s   76.8 tx/s    5.7 Mgas/s      0+   12 Qed Ancient:#12766428 LI:#13371771   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:28 UTC Syncing #13371759 0xa8d4…9dc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12766428 LI:#13371771   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:33 UTC Syncing #13371759 0xa8d4…9dc8     0.20 blk/s   80.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12766429 LI:#13371771   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:38 UTC Syncing #13371759 0xa8d4…9dc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766429 LI:#13371771   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:43 UTC Syncing #13371759 0xa8d4…9dc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766429 LI:#13371771   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:45 UTC Reorg to #13371760 0x42c4…e737 (0xa8d4…9dc8 #13371758 0xfa87…18e1 0x228d…56ea)
2021-10-07 12:15:49 UTC Syncing #13371761 0x0bfe…7775     0.20 blk/s   55.6 tx/s    4.6 Mgas/s      0+   10 Qed Ancient:#12766430 LI:#13371771   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:54 UTC Syncing #13371761 0x0bfe…7775     0.20 blk/s   10.6 tx/s    1.9 Mgas/s      0+    9 Qed Ancient:#12766431 LI:#13371771   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:15:59 UTC Syncing #13371762 0x0d64…63fd     0.20 blk/s   29.6 tx/s    1.7 Mgas/s      0+    8 Qed Ancient:#12766432 LI:#13371771   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:03 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766432 LI:#13371772   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:08 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766432 LI:#13371773   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:13 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766432 LI:#13371773   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:18 UTC Syncing #13371762 0x0d64…63fd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12766432 LI:#13371774   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:26 UTC Syncing #13371763 0x0954…e24d     0.20 blk/s   90.0 tx/s    5.9 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:16:28 UTC Syncing #13371763 0x0954…e24d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12766433 LI:#13371774   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
