2021-10-06 08:16:27 UTC Syncing #13364304 0x1135…77f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12436562 LI:#13364312   33/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:32 UTC Syncing #13364305 0x5adf…c1e2     0.20 blk/s   62.4 tx/s    4.2 Mgas/s      0+    6 Qed Ancient:#12436563 LI:#13364312   33/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:37 UTC Syncing #13364305 0x5adf…c1e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12436563 LI:#13364312   34/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:42 UTC Syncing #13364305 0x5adf…c1e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12436563 LI:#13364313   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:47 UTC Syncing #13364306 0xe360…5c73     0.20 blk/s   52.2 tx/s    3.8 Mgas/s      0+    6 Qed Ancient:#12436564 LI:#13364313   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:52 UTC Syncing #13364306 0xe360…5c73     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12436564 LI:#13364315   34/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:16:57 UTC Syncing #13364306 0xe360…5c73     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12436564 LI:#13364315   33/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:02 UTC Syncing #13364307 0x0e4c…a284     0.20 blk/s   48.2 tx/s    3.4 Mgas/s      0+    9 Qed Ancient:#12436565 LI:#13364317   33/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:07 UTC Syncing #13364307 0x0e4c…a284     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12436565 LI:#13364317   33/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:12 UTC Syncing #13364308 0x696b…6b00     0.20 blk/s   23.0 tx/s    1.5 Mgas/s      0+    8 Qed Ancient:#12436566 LI:#13364317   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:17 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12436566 LI:#13364318   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:22 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12436566 LI:#13364319   33/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:27 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12436566 LI:#13364319   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:32 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12436566 LI:#13364319   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:37 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12436566 LI:#13364320   31/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:42 UTC Syncing #13364308 0x696b…6b00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12436566 LI:#13364320   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:47 UTC Syncing #13364309 0x62a6…1e3b     0.20 blk/s   49.8 tx/s    3.4 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:52 UTC Syncing #13364309 0x62a6…1e3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:17:57 UTC Syncing #13364309 0x62a6…1e3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:02 UTC Syncing #13364309 0x62a6…1e3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:07 UTC Syncing #13364309 0x62a6…1e3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   32/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:12 UTC Syncing #13364309 0x62a6…1e3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12436567 LI:#13364320   34/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:17 UTC Syncing #13364310 0x93e4…37a3     0.20 blk/s   71.6 tx/s    4.5 Mgas/s      0+   10 Qed Ancient:#12436568 LI:#13364320   33/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:22 UTC Syncing #13364310 0x93e4…37a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12436568 LI:#13364320   34/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:27 UTC Syncing #13364312 0x08fa…ab2a     0.40 blk/s   47.6 tx/s    3.2 Mgas/s      0+    8 Qed Ancient:#12436570 LI:#13364320   34/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:32 UTC Syncing #13364312 0x08fa…ab2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12436570 LI:#13364320   33/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:37 UTC Syncing #13364315 0x85c9…ec57     0.60 blk/s   99.6 tx/s    7.1 Mgas/s      0+    5 Qed Ancient:#12436573 LI:#13364320   33/50 peers      6 MiB chain  952 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:18:51 UTC Imported #13364320 0x9a31…fddc (134 txs, 10.88 Mgas, 981 ms, 64.10 KiB)
2021-10-06 08:19:27 UTC  Ancient:#12436955 AB:#12440289   33/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
