2021-10-06 08:31:37 UTC Syncing #13364345 0xb66f…badd     0.20 blk/s   31.2 tx/s    2.7 Mgas/s      0+   10 Qed Ancient:#12440646 LI:#13364355   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:31:42 UTC Syncing #13364345 0xb66f…badd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12440646 LI:#13364355   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:31:51 UTC Reorg to #13364346 0x6909…b88b (0xb66f…badd #13364344 0xb1cc…be0c 0x211f…23b5)
2021-10-06 08:31:54 UTC Syncing #13364345 0xb66f…badd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12440646 LI:#13364355   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:31:54 UTC Syncing #13364346 0x6909…b88b     0.10 blk/s   26.8 tx/s    1.9 Mgas/s      0+    9 Qed Ancient:#12440647 LI:#13364355   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:02 UTC Syncing #13364347 0x73a1…a3a2     0.20 blk/s   10.6 tx/s    0.6 Mgas/s      0+    9 Qed Ancient:#12440648 LI:#13364356   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:08 UTC Syncing #13364347 0x73a1…a3a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12440648 LI:#13364356   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:08 UTC Syncing #13364347 0x73a1…a3a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12440648 LI:#13364356   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:12 UTC Syncing #13364347 0x73a1…a3a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12440648 LI:#13364357   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:17 UTC Syncing #13364347 0x73a1…a3a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12440648 LI:#13364357   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:32:24 UTC Syncing #13364347 0x73a1…a3a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12440648 LI:#13364357   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
