2021-10-06 08:36:33 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12443929 LI:#13364372    5/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:37 UTC Syncing #13364363 0xa7f7…9b0a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443929 LI:#13364373    4/25 peers    104 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:45 UTC Syncing #13364364 0x0d79…8eb5     0.20 blk/s   48.6 tx/s    4.0 Mgas/s      0+    9 Qed Ancient:#12443930 LI:#13364374    4/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:47 UTC Syncing #13364364 0x0d79…8eb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443930 LI:#13364374    3/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:36:52 UTC Syncing #13364365 0x304e…0b0e     0.20 blk/s   10.8 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#12443931 LI:#13364374    3/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:00 UTC Syncing #13364366 0x422e…3a68     0.20 blk/s   21.6 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#12443932 LI:#13364374    5/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:05 UTC Syncing #13364366 0x422e…3a68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443932 LI:#13364374    5/25 peers    284 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:13 UTC Syncing #13364367 0x9f61…c413     0.10 blk/s    9.0 tx/s    0.7 Mgas/s      0+    6 Qed Ancient:#12443934 LI:#13364374    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:13 UTC Syncing #13364367 0x9f61…c413     0.20 blk/s   18.0 tx/s    1.5 Mgas/s      0+    6 Qed Ancient:#12443934 LI:#13364374    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:17 UTC Syncing #13364367 0x9f61…c413     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443934 LI:#13364375    4/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:24 UTC Syncing #13364367 0x9f61…c413     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443934 LI:#13364375    4/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:28 UTC Syncing #13364367 0x9f61…c413     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443934 LI:#13364375    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:33 UTC Syncing #13364368 0xa8cf…7d60     0.20 blk/s   70.2 tx/s    5.9 Mgas/s      0+    6 Qed Ancient:#12443935 LI:#13364375    5/25 peers    495 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:37 UTC Syncing #13364368 0xa8cf…7d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443935 LI:#13364376    7/25 peers    495 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:43 UTC Syncing #13364368 0xa8cf…7d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443935 LI:#13364376    9/25 peers    495 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:47 UTC Syncing #13364368 0xa8cf…7d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443935 LI:#13364378   11/25 peers    780 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:37:52 UTC Syncing #13364368 0xa8cf…7d60     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443935 LI:#13364378   15/25 peers    971 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
