2021-10-08 09:14:22 UTC Syncing #13377288 0xa395…ff05     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#13030234 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:14:45 UTC Syncing #13377290 0x57a9…6892     0.20 blk/s   31.3 tx/s    2.1 Mgas/s      0+   22 Qed Ancient:#13030236 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:14:45 UTC Syncing #13377290 0x57a9…6892     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#13030236 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:14:45 UTC Syncing #13377290 0x57a9…6892     0.40 blk/s   62.6 tx/s    4.1 Mgas/s      0+   22 Qed Ancient:#13030236 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:14:45 UTC Syncing #13377290 0x57a9…6892     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#13030236 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:14:47 UTC Syncing #13377290 0x57a9…6892     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#13030236 LI:#13377313    1/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:15:08 UTC Syncing #13377293 0x222c…d02e     0.30 blk/s   67.2 tx/s    4.1 Mgas/s      0+   20 Qed Ancient:#13030260 LI:#13377313    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:15:08 UTC Syncing #13377293 0x222c…d02e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#13030260 LI:#13377313    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:15:08 UTC Syncing #13377293 0x222c…d02e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#13030260 LI:#13377313    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:15:08 UTC Syncing #13377292 0xeda3…73ae     0.40 blk/s   80.6 tx/s    4.6 Mgas/s      0+   20 Qed Ancient:#13030239 LI:#13377313    1/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 09:15:31 UTC Syncing #13377294 0x2fbd…5195     0.21 blk/s   33.7 tx/s    2.2 Mgas/s      0+   18 Qed Ancient:#13030262 LI:#13377313    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
