2021-10-08 05:16:42 UTC Syncing #13376261 0xec16…fbe2     0.19 blk/s   25.3 tx/s    3.3 Mgas/s      0+    5 Qed Ancient:#12982298 LI:#13376266   23/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:16:42 UTC Syncing #13376261 0xec16…fbe2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12982298 LI:#13376266   23/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:16:45 UTC Syncing #13376261 0xec16…fbe2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12982299 LI:#13376266   21/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:16:54 UTC Syncing #13376262 0x5c1a…c4cb     0.10 blk/s    8.5 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#12982300 LI:#13376267   20/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:16:59 UTC Syncing #13376262 0x5c1a…c4cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12982300 LI:#13376267   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:17:17 UTC Syncing #13376263 0x5f30…733a     0.05 blk/s   15.3 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#12982301 LI:#13376268   25/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:17:24 UTC Syncing #13376263 0x5f30…733a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12982301 LI:#13376268   24/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:17:29 UTC Syncing #13376263 0x5f30…733a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12982301 LI:#13376268   22/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:17:53 UTC Syncing #13376264 0x0b76…dd7a     0.04 blk/s   12.5 tx/s    1.2 Mgas/s      0+    5 Qed Ancient:#12982302 LI:#13376270   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:17:53 UTC Syncing #13376264 0x0b76…dd7a     0.04 blk/s   12.5 tx/s    1.2 Mgas/s      0+    5 Qed Ancient:#12982302 LI:#13376270   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:10 UTC Syncing #13376265 0xfe7e…61fe     0.06 blk/s   16.4 tx/s    1.9 Mgas/s      0+    4 Qed Ancient:#12982303 LI:#13376271   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:10 UTC Syncing #13376265 0xfe7e…61fe     0.10 blk/s   24.2 tx/s    2.9 Mgas/s      0+    4 Qed Ancient:#12982303 LI:#13376271   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:10 UTC Syncing #13376264 0x0b76…dd7a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12982302 LI:#13376270   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:15 UTC Syncing #13376266 0xcd11…67db     0.20 blk/s   40.6 tx/s    3.1 Mgas/s      0+    5 Qed Ancient:#12982304 LI:#13376272   19/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:19 UTC Syncing #13376266 0xcd11…67db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12982304 LI:#13376272   19/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:24 UTC Syncing #13376267 0x277d…fc14     0.20 blk/s  108.6 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12982305 LI:#13376273   19/25 peers      6 MiB chain  834 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:29 UTC Syncing #13376267 0x277d…fc14     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12982305 LI:#13376274   20/25 peers      6 MiB chain  889 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:57 UTC Syncing #13376270 0x5b5d…b16b     0.13 blk/s   28.4 tx/s    1.9 Mgas/s      0+    5 Qed Ancient:#12982969 LI:#13376275   18/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:18:57 UTC Syncing #13376270 0x5b5d…b16b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12983030 LI:#13376275   18/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:16 UTC Syncing #13376271 0x4475…53b7     0.09 blk/s    7.6 tx/s    0.4 Mgas/s      0+    4 Qed Ancient:#12983032 LI:#13376275   18/25 peers      1 MiB chain 1017 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:16 UTC Syncing #13376271 0x4475…53b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12983138 LI:#13376275   18/25 peers      4 MiB chain 1017 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:29 UTC Syncing #13376271 0x4475…53b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12983139 LI:#13376276   19/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:37 UTC Syncing #13376271 0x4475…53b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12983139 LI:#13376276   19/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:39 UTC Syncing #13376271 0x4475…53b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12983139 LI:#13376276   18/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:19:47 UTC Syncing #13376271 0x4475…53b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12983139 LI:#13376276   18/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:15 UTC  Ancient:#12983142 AB:#12986040   11/25 peers      4 MiB chain  488 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:19 UTC Syncing #13376274 0x064b…14b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12983142 LI:#13376281    7/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:24 UTC Syncing #13376274 0x064b…14b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983142 LI:#13376282    7/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:29 UTC Syncing #13376274 0x064b…14b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983142 LI:#13376282    7/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:34 UTC Syncing #13376274 0x064b…14b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983142 LI:#13376282   13/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:40 UTC Syncing #13376275 0x004e…5a17     0.20 blk/s   98.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12983143 LI:#13376282   14/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:44 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12983143 LI:#13376283   13/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:49 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983143 LI:#13376283   14/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:54 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983143 LI:#13376283   21/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:20:59 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12983143 LI:#13376284   22/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:21:04 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12983143 LI:#13376284   22/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:21:11 UTC Syncing #13376275 0x004e…5a17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12983143 LI:#13376284   22/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:21:15 UTC Syncing #13376276 0x7a04…b768     0.20 blk/s   72.4 tx/s    5.1 Mgas/s      0+    8 Qed Ancient:#12983144 LI:#13376284   22/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:21:19 UTC Syncing #13376276 0x7a04…b768     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12983144 LI:#13376284   22/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
