2021-10-06 06:29:09 UTC Syncing #13363834 0xcab7…18dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12416531 LI:#13363860   26/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:14 UTC Syncing #13363834 0xcab7…18dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12416531 LI:#13363860   26/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:19 UTC Syncing #13363834 0xcab7…18dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12416531 LI:#13363860   26/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:25 UTC Syncing #13363835 0xbdd5…a846     0.20 blk/s  131.4 tx/s    6.0 Mgas/s      0+   28 Qed Ancient:#12416532 LI:#13363860   26/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:33 UTC Syncing #13363835 0xbdd5…a846     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12416532 LI:#13363862   23/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:39 UTC Syncing #13363835 0xbdd5…a846     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12416532 LI:#13363862   23/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:44 UTC Syncing #13363835 0xbdd5…a846     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12416532 LI:#13363862   29/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:29:53 UTC Syncing #13363835 0xbdd5…a846     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12416532 LI:#13363862   29/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:00 UTC Syncing #13363836 0xea6c…8d4d     0.20 blk/s   84.0 tx/s    5.9 Mgas/s      0+   29 Qed Ancient:#12416533 LI:#13363863   29/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:00 UTC Syncing #13363836 0xea6c…8d4d     0.10 blk/s   42.0 tx/s    3.0 Mgas/s      0+   29 Qed Ancient:#12416533 LI:#13363863   29/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:35 UTC Syncing #13363837 0xe739…e4b3     0.03 blk/s    8.1 tx/s    1.0 Mgas/s      0+   31 Qed Ancient:#12416533 LI:#13363864   30/50 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:43 UTC Syncing #13363837 0xe739…e4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12416669 LI:#13363866   30/50 peers      8 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:43 UTC Syncing #13363837 0xe739…e4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12416808 LI:#13363867   27/50 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:58 UTC Syncing #13363838 0xda3b…22a3     0.11 blk/s    9.2 tx/s    0.8 Mgas/s      0+   33 Qed Ancient:#12417005 LI:#13363867   27/50 peers      9 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:58 UTC Syncing #13363837 0xe739…e4b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12416810 LI:#13363867   27/50 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:59 UTC Syncing #13363838 0xda3b…22a3     0.16 blk/s   14.2 tx/s    1.2 Mgas/s      0+   33 Qed Ancient:#12417005 LI:#13363868   25/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:30:59 UTC Syncing #13363838 0xda3b…22a3     0.16 blk/s   14.1 tx/s    1.2 Mgas/s      0+   33 Qed Ancient:#12417006 LI:#13363868   25/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:11 UTC Syncing #13363839 0x9b56…7687     0.01 blk/s    3.3 tx/s    0.3 Mgas/s      0+   36 Qed Ancient:#12417541 LI:#13363871   28/50 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:32:11 UTC Syncing #13363839 0x9b56…7687     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12417541 LI:#13363871   28/50 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
