2021-10-06 06:44:09 UTC Syncing #13363895 0x6131…6c8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12417619 LI:#13363918   17/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:44:14 UTC Syncing #13363895 0x6131…6c8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12417619 LI:#13363918   17/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:44:19 UTC Syncing #13363895 0x6131…6c8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12417619 LI:#13363919   17/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:44:24 UTC Syncing #13363895 0x6131…6c8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12417619 LI:#13363920   18/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:44:34 UTC Syncing #13363896 0x84dc…3d67     0.20 blk/s   53.4 tx/s    5.9 Mgas/s      0+   25 Qed Ancient:#12417620 LI:#13363920   18/25 peers      7 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:44:35 UTC Syncing #13363896 0x84dc…3d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12417620 LI:#13363920   18/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:01 UTC Syncing #13363898 0x8045…afff     0.09 blk/s    9.4 tx/s    0.7 Mgas/s      0+   24 Qed Ancient:#12417788 LI:#13363920   17/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:01 UTC Syncing #13363898 0x8045…afff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12417944 LI:#13363920   17/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:22 UTC Syncing #13363898 0x8045…afff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12417945 LI:#13363922   17/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:22 UTC Syncing #13363898 0x8045…afff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12417945 LI:#13363922   17/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:36 UTC Syncing #13363900 0xbc68…5c98     0.24 blk/s   38.7 tx/s    3.5 Mgas/s      0+   24 Qed Ancient:#12418097 LI:#13363922   16/25 peers      9 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:36 UTC Syncing #13363899 0x0f0f…7988     0.40 blk/s  105.3 tx/s    9.1 Mgas/s      0+   24 Qed Ancient:#12417946 LI:#13363922   16/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:36 UTC Syncing #13363900 0xbc68…5c98     0.18 blk/s   11.5 tx/s    1.2 Mgas/s      0+   24 Qed Ancient:#12418097 LI:#13363923   16/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:42 UTC Syncing #13363900 0xbc68…5c98     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12418097 LI:#13363923   15/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:44 UTC Syncing #13363900 0xbc68…5c98     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12418097 LI:#13363923   15/25 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:52 UTC Syncing #13363901 0xd4a6…0978     0.20 blk/s   15.2 tx/s    1.0 Mgas/s      0+   23 Qed Ancient:#12418098 LI:#13363923   15/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:45:59 UTC Syncing #13363901 0xd4a6…0978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12418098 LI:#13363923   15/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:07 UTC Syncing #13363902 0x9e41…76af     0.10 blk/s   45.4 tx/s    3.0 Mgas/s      0+   22 Qed Ancient:#12418099 LI:#13363923   14/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:07 UTC Syncing #13363901 0xd4a6…0978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12418098 LI:#13363923   14/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:13 UTC Syncing #13363903 0xc3dd…a336     0.40 blk/s  155.6 tx/s   12.0 Mgas/s      0+   22 Qed Ancient:#12418100 LI:#13363924   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:20 UTC Syncing #13363903 0xc3dd…a336     0.20 blk/s   62.6 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12418101 LI:#13363926   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:20 UTC Syncing #13363903 0xc3dd…a336     0.10 blk/s   31.3 tx/s    3.0 Mgas/s      0+   23 Qed Ancient:#12418101 LI:#13363926   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:28 UTC Syncing #13363904 0xa515…b6c4     0.20 blk/s   71.0 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#12418102 LI:#13363926   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:35 UTC Syncing #13363905 0xd55e…2bbb     0.10 blk/s   37.4 tx/s    3.0 Mgas/s      0+   21 Qed Ancient:#12418103 LI:#13363926   13/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:35 UTC Syncing #13363905 0xd55e…2bbb     0.20 blk/s   74.8 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#12418103 LI:#13363926   13/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:43 UTC Syncing #13363908 0x76b2…0831     0.60 blk/s  106.6 tx/s    8.5 Mgas/s      0+   19 Qed Ancient:#12418106 LI:#13363927   13/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:51 UTC Syncing #13363911 0xe978…b6c8     0.40 blk/s   31.5 tx/s    2.0 Mgas/s      0+   15 Qed Ancient:#12418110 LI:#13363927   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:51 UTC Syncing #13363911 0xe978…b6c8     0.80 blk/s   63.0 tx/s    4.1 Mgas/s      0+   15 Qed Ancient:#12418110 LI:#13363927   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:46:59 UTC Syncing #13363912 0x39f1…8bfe     0.20 blk/s   58.6 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#12418111 LI:#13363927   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:05 UTC Syncing #13363915 0xc1ea…01e8     0.60 blk/s   72.8 tx/s    5.2 Mgas/s      0+   12 Qed Ancient:#12418114 LI:#13363928   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:05 UTC Syncing #13363916 0x2454…ddcb     0.40 blk/s   67.4 tx/s    4.6 Mgas/s      0+   11 Qed Ancient:#12418115 LI:#13363928   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:13 UTC Syncing #13363916 0x2454…ddcb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12418115 LI:#13363929   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:20 UTC Syncing #13363918 0xf02d…36d0     0.20 blk/s   51.4 tx/s    5.0 Mgas/s      0+   11 Qed Ancient:#12418117 LI:#13363930   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:20 UTC Syncing #13363917 0x1455…2ee9     0.20 blk/s   50.6 tx/s    5.9 Mgas/s      0+   12 Qed Ancient:#12418116 LI:#13363930   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:28 UTC Syncing #13363919 0x705f…f343     0.40 blk/s  127.4 tx/s   10.1 Mgas/s      0+   10 Qed Ancient:#12418118 LI:#13363931   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:35 UTC Syncing #13363920 0xd68f…ccb0     0.20 blk/s   25.6 tx/s    2.3 Mgas/s      0+   10 Qed Ancient:#12418119 LI:#13363931   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:35 UTC Syncing #13363922 0x60a0…d351     0.30 blk/s   58.7 tx/s    4.8 Mgas/s      0+    8 Qed Ancient:#12418121 LI:#13363931   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:43 UTC Syncing #13363923 0x6479…491d     0.60 blk/s  130.4 tx/s    9.7 Mgas/s      0+    8 Qed Ancient:#12418122 LI:#13363932    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:50 UTC Syncing #13363925 0x700e…d72c     0.20 blk/s   39.8 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#12418124 LI:#13363933    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:50 UTC Syncing #13363923 0x6479…491d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12418122 LI:#13363933    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:47:58 UTC Syncing #13363926 0x6297…71fd     0.60 blk/s   96.0 tx/s    7.4 Mgas/s      0+    6 Qed Ancient:#12418125 LI:#13363933    9/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:48:05 UTC Syncing #13363929 0x4f86…6cb3     0.30 blk/s   51.7 tx/s    3.8 Mgas/s      0+    4 Qed Ancient:#12418128 LI:#13363934    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:48:05 UTC Syncing #13363928 0xf88c…7df2     0.40 blk/s   74.0 tx/s    5.1 Mgas/s      0+    5 Qed Ancient:#12418127 LI:#13363934    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:48:44 UTC Imported #13363935 0x8123…b79d (16 txs, 0.96 Mgas, 437 ms, 5.29 KiB)
2021-10-06 06:49:01 UTC  Ancient:#12420073 AB:#12420902    6/25 peers    0 bytes chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:01 UTC  Ancient:#12420073 AB:#12420902    6/25 peers   744 bytes chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:35 UTC  Ancient:#12420075 AB:#12420902    5/25 peers    144 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:39 UTC Syncing #13363936 0xd050…0c81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12420075 LI:#13363941    5/25 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:49 UTC Syncing #13363937 0xe0d9…1e4e     0.10 blk/s   17.3 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#12420076 LI:#13363942    5/25 peers    215 KiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:54 UTC Syncing #13363937 0xe0d9…1e4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12420076 LI:#13363944    5/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:59 UTC Syncing #13363937 0xe0d9…1e4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12420076 LI:#13363945    5/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
