2021-10-06 06:49:49 UTC Syncing #13363937 0xe0d9…1e4e     0.10 blk/s   17.3 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#12420076 LI:#13363942    5/25 peers    215 KiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:54 UTC Syncing #13363937 0xe0d9…1e4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12420076 LI:#13363944    5/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:49:59 UTC Syncing #13363937 0xe0d9…1e4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12420076 LI:#13363945    5/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:04 UTC Syncing #13363937 0xe0d9…1e4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12420076 LI:#13363946    5/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:15 UTC Syncing #13363939 0xc17c…a558     0.20 blk/s   40.2 tx/s    3.9 Mgas/s      0+    7 Qed Ancient:#12420078 LI:#13363947    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:15 UTC Syncing #13363938 0xc143…ba81     0.20 blk/s   59.6 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12420077 LI:#13363947    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:21 UTC Syncing #13363939 0xc17c…a558     0.20 blk/s   20.8 tx/s    1.9 Mgas/s      0+    7 Qed Ancient:#12420078 LI:#13363947    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:24 UTC Syncing #13363939 0xc17c…a558     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12420078 LI:#13363949    5/25 peers    355 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:37 UTC Syncing #13363941 0xcb9b…eb9d     0.40 blk/s   45.4 tx/s    3.5 Mgas/s      0+    7 Qed Ancient:#12420080 LI:#13363949    4/25 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:37 UTC Syncing #13363941 0xcb9b…eb9d     0.20 blk/s   22.7 tx/s    1.7 Mgas/s      0+    7 Qed Ancient:#12420080 LI:#13363949    4/25 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:48 UTC Syncing #13363942 0xf7b0…c905     0.10 blk/s   24.3 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#12420081 LI:#13363949    4/25 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:50:48 UTC Syncing #13363941 0xcb9b…eb9d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12420080 LI:#13363949    4/25 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
