2021-10-08 05:11:54 UTC Syncing #13376236 0xd28e…0b47     0.60 blk/s   86.0 tx/s    6.7 Mgas/s      0+    9 Qed Ancient:#12980536 LI:#13376246   34/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:11:59 UTC Syncing #13376236 0xd28e…0b47     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12980536 LI:#13376247   32/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:04 UTC Syncing #13376238 0x9962…57bf     0.40 blk/s   63.0 tx/s    5.2 Mgas/s      0+    8 Qed Ancient:#12980538 LI:#13376247   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:09 UTC Syncing #13376240 0xfc83…fefa     0.40 blk/s   28.6 tx/s    3.7 Mgas/s      0+    6 Qed Ancient:#12980540 LI:#13376247   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:14 UTC Syncing #13376241 0x2cf9…2d0f     0.20 blk/s   66.6 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12980541 LI:#13376248   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:19 UTC Syncing #13376241 0x2cf9…2d0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12980541 LI:#13376248   32/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:24 UTC Syncing #13376242 0x11ea…b87e     0.20 blk/s   45.0 tx/s    4.6 Mgas/s      0+    6 Qed Ancient:#12980542 LI:#13376249   31/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:29 UTC Syncing #13376242 0x11ea…b87e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12980542 LI:#13376249   32/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:34 UTC Syncing #13376243 0x8441…1f40     0.20 blk/s   79.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12980543 LI:#13376250   33/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:39 UTC Syncing #13376244 0x3579…6f99     0.20 blk/s   22.6 tx/s    2.1 Mgas/s      0+    5 Qed Ancient:#12980544 LI:#13376250   31/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:12:59 UTC Updated conversion rate to Ξ1 = US$3558.42 (1338207.6 wei/gas)
2021-10-08 05:13:37 UTC  Ancient:#12981973 AB:#12983830   31/50 peers     19 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:13:37 UTC  Ancient:#12981976 AB:#12983830   31/50 peers     72 KiB chain    2 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:13:37 UTC  Ancient:#12981974 AB:#12983830   31/50 peers     36 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 05:13:37 UTC Imported #13376250 0x8b9b…e557 (147 txs, 13.18 Mgas, 4796 ms, 66.74 KiB)
2021-10-08 05:13:42 UTC Syncing #13376250 0x8b9b…e557     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12982044 LI:#13376256   29/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
