2021-10-06 07:05:32 UTC Syncing #13364004 0x1190…8537     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12422032 LI:#13364016   24/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:05:40 UTC Syncing #13364005 0x45f7…cdc9     0.20 blk/s   76.0 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12422033 LI:#13364017   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:05:42 UTC Syncing #13364005 0x45f7…cdc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12422033 LI:#13364019   23/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:05:51 UTC Syncing #13364006 0x5d8a…5b79     0.20 blk/s   24.4 tx/s    3.8 Mgas/s      0+   13 Qed Ancient:#12422034 LI:#13364019   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:05:55 UTC Syncing #13364008 0xeb74…4b46     0.40 blk/s   19.6 tx/s    1.2 Mgas/s      0+   11 Qed Ancient:#12422036 LI:#13364019   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:05:57 UTC Syncing #13364008 0xeb74…4b46     0.20 blk/s   11.2 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#12422037 LI:#13364020   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:05 UTC Syncing #13364009 0x48af…c844     0.20 blk/s   18.2 tx/s    1.2 Mgas/s      0+   10 Qed Ancient:#12422038 LI:#13364020   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:08 UTC Syncing #13364009 0x48af…c844     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12422038 LI:#13364020   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:15 UTC Syncing #13364009 0x48af…c844     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12422038 LI:#13364020   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:17 UTC Syncing #13364009 0x48af…c844     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12422038 LI:#13364020   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:26 UTC Syncing #13364011 0x0e65…19b3     0.30 blk/s   31.8 tx/s    2.5 Mgas/s      0+    9 Qed Ancient:#12422040 LI:#13364020   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:53 UTC Syncing #13364012 0x0868…336c     0.03 blk/s    6.7 tx/s    0.5 Mgas/s      0+   10 Qed Ancient:#12422151 LI:#13364021   25/25 peers      8 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:06:53 UTC Syncing #13364011 0x0e65…19b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12422103 LI:#13364021   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:07:00 UTC Syncing #13364012 0x0868…336c     0.22 blk/s   42.5 tx/s    3.4 Mgas/s      0+    9 Qed Ancient:#12422152 LI:#13364021   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:07:05 UTC Syncing #13364014 0xa95b…f445     0.40 blk/s   23.2 tx/s    1.8 Mgas/s      0+    8 Qed Ancient:#12422154 LI:#13364022   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
