2021-10-06 07:20:39 UTC Syncing #13364060 0x0163…9d12     0.20 blk/s   14.6 tx/s    0.9 Mgas/s      0+   15 Qed Ancient:#12425864 LI:#13364075    9/25 peers    218 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:20:42 UTC Syncing #13364060 0x0163…9d12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425864 LI:#13364078    8/25 peers    218 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:20:47 UTC Syncing #13364060 0x0163…9d12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425864 LI:#13364078    8/25 peers    218 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:20:52 UTC Syncing #13364060 0x0163…9d12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425864 LI:#13364078    7/25 peers    218 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:20:57 UTC Syncing #13364061 0xc606…d4b7     0.20 blk/s  101.2 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12425865 LI:#13364078    9/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:02 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425865 LI:#13364078    9/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:07 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425865 LI:#13364078   18/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:12 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425865 LI:#13364078   20/25 peers    358 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:17 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425865 LI:#13364078   22/25 peers    433 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:22 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425865 LI:#13364079   22/25 peers    685 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:27 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425865 LI:#13364079   23/25 peers    685 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:32 UTC Syncing #13364061 0xc606…d4b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425865 LI:#13364079   25/25 peers    691 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:40 UTC Syncing #13364062 0xc03c…6ef9     0.20 blk/s   48.6 tx/s    5.3 Mgas/s      0+   17 Qed Ancient:#12425866 LI:#13364079   25/25 peers    692 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:42 UTC Syncing #13364062 0xc03c…6ef9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425866 LI:#13364079   24/25 peers    692 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:48 UTC Syncing #13364062 0xc03c…6ef9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425866 LI:#13364079   24/25 peers    692 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:52 UTC Syncing #13364062 0xc03c…6ef9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425866 LI:#13364080   25/25 peers    692 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:21:57 UTC Syncing #13364062 0xc03c…6ef9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425866 LI:#13364080   25/25 peers    692 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:22:07 UTC Syncing #13364064 0xdcd5…3a8b     0.20 blk/s   29.0 tx/s    2.2 Mgas/s      0+   16 Qed Ancient:#12425868 LI:#13364081   24/25 peers    972 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
