2021-10-06 07:25:48 UTC Syncing #13364080 0xedb6…8130     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:48 UTC Syncing #13364080 0xedb6…8130     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:58 UTC Syncing #13364082 0x88c9…798b     0.20 blk/s   31.3 tx/s    3.9 Mgas/s      0+   16 Qed Ancient:#12425889 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:58 UTC Syncing #13364082 0x88c9…798b     0.40 blk/s   62.6 tx/s    7.7 Mgas/s      0+   16 Qed Ancient:#12425889 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:02 UTC Syncing #13364083 0x48f1…50cc     0.20 blk/s   30.0 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#12425890 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:07 UTC Syncing #13364083 0x48f1…50cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425890 LI:#13364100   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:12 UTC Syncing #13364084 0xf535…b712     0.20 blk/s   37.8 tx/s    2.6 Mgas/s      0+   18 Qed Ancient:#12425891 LI:#13364101   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:17 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:22 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   24/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:27 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   25/25 peers      7 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:32 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
