2021-10-08 06:29:31 UTC Syncing #13376589 0xdde6…39b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed Ancient:#12998590 LI:#13376593    1/25 peers      5 MiB chain  280 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:29:31 UTC Syncing #13376589 0xdde6…39b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12998590 LI:#13376593    1/25 peers      5 MiB chain  366 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:29:31 UTC Syncing #13376589 0xdde6…39b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12998590 LI:#13376593    1/25 peers      5 MiB chain  366 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:29:52 UTC Imported #13376593 0xb303…8e86 (70 txs, 8.91 Mgas, 4728 ms, 18.74 KiB)
2021-10-08 06:30:06 UTC  Ancient:#12998590 AB:#12998590    0/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:30:41 UTC  Ancient:#12998593 AB:#12998848    3/25 peers      5 MiB chain  308 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:31:03 UTC Imported #13376598 0xd515…1746 (270 txs, 19.57 Mgas, 10684 ms, 55.14 KiB)
2021-10-08 06:32:26 UTC Syncing #13376599 0xf56b…afb4     0.03 blk/s    4.1 tx/s    0.5 Mgas/s      0+    5 Qed Ancient:#12999040 LI:#13376604    1/25 peers     18 MiB chain  464 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:32:28 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999040 LI:#13376604    1/25 peers    0 bytes chain  464 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:32:52 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12999040 LI:#13376604    1/25 peers   760 bytes chain  464 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:33:44 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12999256 LI:#13376609    2/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:34:17 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12999278 LI:#13376612    1/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:34:49 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12999278 LI:#13376615    1/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 06:34:49 UTC Syncing #13376599 0xf56b…afb4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12999278 LI:#13376615    1/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
