2021-10-08 00:15:31 UTC Syncing #13374910 0xc499…9419     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922535 LI:#13374937    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:31 UTC Syncing #13374910 0xc499…9419     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922535 LI:#13374937    7/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:40 UTC Syncing #13374911 0x3b2c…5907     0.20 blk/s   28.0 tx/s    2.4 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    7/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:41 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    7/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:50 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:51 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:15:56 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:01 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940    8/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:15 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:15 UTC Syncing #13374911 0x3b2c…5907     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922536 LI:#13374940   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:32 UTC Syncing #13374912 0xcead…3c6c     0.17 blk/s   57.0 tx/s    5.1 Mgas/s      0+   28 Qed Ancient:#12922537 LI:#13374941    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:32 UTC Syncing #13374912 0xcead…3c6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922537 LI:#13374941    9/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:40 UTC Syncing #13374913 0x1e89…ade3     0.23 blk/s   42.7 tx/s    4.8 Mgas/s      0+   27 Qed Ancient:#12922538 LI:#13374941    8/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:16:41 UTC Syncing #13374913 0x1e89…ade3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922538 LI:#13374942    7/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:00 UTC Syncing #13374913 0x1e89…ade3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12922538 LI:#13374942    7/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:00 UTC Syncing #13374915 0xe27d…4441     0.20 blk/s   32.7 tx/s    1.9 Mgas/s      0+   27 Qed Ancient:#12922548 LI:#13374942    7/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:00 UTC Syncing #13374915 0xe27d…4441     0.11 blk/s   17.6 tx/s    1.0 Mgas/s      0+   27 Qed Ancient:#12922548 LI:#13374942    7/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:17:11 UTC Syncing #13374915 0xe27d…4441     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12922549 LI:#13374942    7/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
