2021-10-06 04:38:31 UTC Syncing #13363321 0x8b46…6f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12387590 LI:#13363352   30/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:38:36 UTC Syncing #13363321 0x8b46…6f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12387590 LI:#13363352   31/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:38:41 UTC Syncing #13363321 0x8b46…6f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12387590 LI:#13363352   31/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:38:46 UTC Syncing #13363321 0x8b46…6f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12387590 LI:#13363352   32/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:38:51 UTC Syncing #13363322 0x5e98…9afb     0.20 blk/s   87.8 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12387591 LI:#13363352   31/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:38:56 UTC Syncing #13363323 0x748d…9887     0.20 blk/s   16.6 tx/s    1.7 Mgas/s      0+   31 Qed Ancient:#12387592 LI:#13363352   31/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:01 UTC Syncing #13363323 0x748d…9887     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12387592 LI:#13363352   31/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:06 UTC Syncing #13363323 0x748d…9887     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12387592 LI:#13363352   33/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:11 UTC Syncing #13363323 0x748d…9887     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12387592 LI:#13363352   33/50 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:16 UTC Syncing #13363324 0xc56d…3636     0.20 blk/s   44.0 tx/s    4.1 Mgas/s      0+   30 Qed Ancient:#12387593 LI:#13363352   33/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:21 UTC Syncing #13363325 0x557c…2718     0.20 blk/s   39.0 tx/s    3.5 Mgas/s      0+   29 Qed Ancient:#12387594 LI:#13363352   34/50 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:25 UTC Reorg to #13363326 0xd233…7ae6 (0x557c…2718 #13363324 0xc56d…3636 0xab2a…abc0)
2021-10-06 04:39:26 UTC Syncing #13363326 0xd233…7ae6     0.40 blk/s   71.8 tx/s    5.9 Mgas/s      0+   28 Qed Ancient:#12387596 LI:#13363353   35/50 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:31 UTC Syncing #13363328 0x179a…0aaf     0.40 blk/s   28.4 tx/s    2.5 Mgas/s      0+   26 Qed Ancient:#12387598 LI:#13363353   35/50 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:36 UTC Syncing #13363328 0x179a…0aaf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12387598 LI:#13363353   33/50 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:41 UTC Syncing #13363329 0xf04e…a84f     0.20 blk/s   77.4 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12387599 LI:#13363353   33/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:46 UTC Syncing #13363329 0xf04e…a84f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12387599 LI:#13363353   33/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:51 UTC Syncing #13363330 0xa814…f801     0.20 blk/s  112.2 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#12387600 LI:#13363353   36/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:39:56 UTC Syncing #13363331 0x5746…e4cc     0.20 blk/s   67.6 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12387601 LI:#13363355   35/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:01 UTC Syncing #13363331 0x5746…e4cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12387601 LI:#13363356   36/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:06 UTC Syncing #13363332 0x1407…098e     0.20 blk/s   65.4 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12387602 LI:#13363356   36/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:11 UTC Syncing #13363334 0xf35e…498e     0.40 blk/s   58.6 tx/s    3.8 Mgas/s      0+   23 Qed Ancient:#12387604 LI:#13363356   36/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:16 UTC Syncing #13363335 0xeb06…2dd6     0.20 blk/s   41.8 tx/s    3.6 Mgas/s      0+   23 Qed Ancient:#12387605 LI:#13363357   36/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:21 UTC Syncing #13363336 0x6372…82dd     0.20 blk/s   35.6 tx/s    2.7 Mgas/s      0+   23 Qed Ancient:#12387606 LI:#13363358   36/50 peers      4 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:26 UTC Syncing #13363338 0x708c…2618     0.40 blk/s   43.0 tx/s    2.9 Mgas/s      0+   21 Qed Ancient:#12387608 LI:#13363358   36/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:31 UTC Syncing #13363338 0x708c…2618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12387608 LI:#13363358   36/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:36 UTC Syncing #13363339 0xbb98…6b5e     0.20 blk/s   79.2 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#12387609 LI:#13363358   36/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:41 UTC Syncing #13363340 0x26e9…b7d0     0.20 blk/s   32.0 tx/s    2.9 Mgas/s      0+   19 Qed Ancient:#12387610 LI:#13363358   38/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:46 UTC Syncing #13363340 0x26e9…b7d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12387610 LI:#13363358   38/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:51 UTC Syncing #13363342 0xfce3…b089     0.40 blk/s   80.8 tx/s    6.6 Mgas/s      0+   18 Qed Ancient:#12387612 LI:#13363359   37/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:40:56 UTC Syncing #13363343 0xfe1e…c0a5     0.20 blk/s   30.8 tx/s    2.8 Mgas/s      0+   17 Qed Ancient:#12387613 LI:#13363359   37/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:01 UTC Syncing #13363344 0x6033…33ec     0.20 blk/s   62.2 tx/s    4.7 Mgas/s      0+   16 Qed Ancient:#12387614 LI:#13363359   37/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:06 UTC Syncing #13363345 0x1907…6344     0.20 blk/s   47.2 tx/s    3.8 Mgas/s      0+   15 Qed Ancient:#12387615 LI:#13363359   37/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:11 UTC Syncing #13363346 0x8348…585f     0.20 blk/s  119.6 tx/s    5.9 Mgas/s      0+   14 Qed Ancient:#12387616 LI:#13363359   37/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:16 UTC Syncing #13363346 0x8348…585f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12387616 LI:#13363359   37/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:21 UTC Syncing #13363347 0xc6b1…9663     0.40 blk/s  129.4 tx/s   12.0 Mgas/s      0+   14 Qed Ancient:#12387617 LI:#13363360   37/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:26 UTC Syncing #13363348 0x883c…4d3c     0.40 blk/s   60.8 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12387620 LI:#13363361   37/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:41:31 UTC Syncing #13363350 0x88b1…795a     0.40 blk/s   60.4 tx/s    5.1 Mgas/s      0+   10 Qed Ancient:#12387622 LI:#13363361   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
