2021-10-06 04:53:31 UTC Syncing #13363409 0x2e8c…5e6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12390289 LI:#13363424   25/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:53:36 UTC Syncing #13363409 0x2e8c…5e6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12390289 LI:#13363424   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:53:41 UTC Syncing #13363409 0x2e8c…5e6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12390289 LI:#13363424   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:53:46 UTC Syncing #13363411 0x2812…6f2a     0.40 blk/s   62.0 tx/s    4.5 Mgas/s      0+   13 Qed Ancient:#12390291 LI:#13363424   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:53:51 UTC Syncing #13363411 0x2812…6f2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12390291 LI:#13363424   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:53:56 UTC Syncing #13363414 0xfd48…f6c1     0.60 blk/s   49.6 tx/s    3.4 Mgas/s      0+   11 Qed Ancient:#12390293 LI:#13363424   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:01 UTC Syncing #13363414 0xfd48…f6c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12390294 LI:#13363424   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:06 UTC Syncing #13363414 0xfd48…f6c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12390294 LI:#13363424   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:11 UTC Syncing #13363414 0xfd48…f6c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12390294 LI:#13363424   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:16 UTC Syncing #13363414 0xfd48…f6c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390294 LI:#13363425   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:21 UTC Syncing #13363414 0xfd48…f6c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390294 LI:#13363425   27/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:26 UTC Syncing #13363415 0xd01f…394e     0.20 blk/s  102.8 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12390295 LI:#13363425   28/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:31 UTC Syncing #13363415 0xd01f…394e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390295 LI:#13363426   28/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:36 UTC Syncing #13363415 0xd01f…394e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390295 LI:#13363426   28/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:41 UTC Syncing #13363415 0xd01f…394e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390295 LI:#13363426   28/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:46 UTC Syncing #13363415 0xd01f…394e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12390295 LI:#13363426   27/50 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:51 UTC Syncing #13363416 0x0d86…066d     0.40 blk/s   40.8 tx/s    3.7 Mgas/s      0+    9 Qed Ancient:#12390297 LI:#13363426   28/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:54:56 UTC Syncing #13363418 0xee07…f97f     0.40 blk/s   30.4 tx/s    2.2 Mgas/s      0+    7 Qed Ancient:#12390299 LI:#13363426   29/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:01 UTC Syncing #13363418 0xee07…f97f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12390299 LI:#13363427   29/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:06 UTC Syncing #13363420 0x7160…7da1     0.40 blk/s   86.2 tx/s    7.5 Mgas/s      0+    6 Qed Ancient:#12390301 LI:#13363427   29/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:11 UTC Syncing #13363420 0x7160…7da1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12390301 LI:#13363428   30/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:16 UTC Syncing #13363421 0x9095…8ab6     0.20 blk/s   85.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12390302 LI:#13363429   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
