2021-10-08 00:09:56 UTC Syncing #13374891 0x3a28…7a52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12922013 LI:#13374899    8/25 peers    896 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:01 UTC Syncing #13374891 0x3a28…7a52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12922013 LI:#13374899   10/25 peers    896 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:06 UTC Syncing #13374891 0x3a28…7a52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12922013 LI:#13374899   11/25 peers    896 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:13 UTC Syncing #13374893 0x3be7…dbb5     0.40 blk/s   66.5 tx/s    5.9 Mgas/s      0+    5 Qed Ancient:#12922015 LI:#13374899   11/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:19 UTC Syncing #13374893 0x3be7…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12922015 LI:#13374899    7/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:21 UTC Syncing #13374893 0x3be7…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12922015 LI:#13374899    6/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:26 UTC Syncing #13374893 0x3be7…dbb5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12922015 LI:#13374899    6/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:32 UTC Syncing #13374894 0xd8b1…e5a4     0.18 blk/s   50.3 tx/s    2.8 Mgas/s      0+    5 Qed Ancient:#12922016 LI:#13374899    7/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:10:39 UTC Syncing #13374895 0x0bac…af2d     0.20 blk/s   14.4 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#12922017 LI:#13374899    6/25 peers    897 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:11:10 UTC  Ancient:#12922079 AB:#12925372    8/25 peers      3 MiB chain  487 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:11:59 UTC  Ancient:#12922398 AB:#12925372    4/25 peers    0 bytes chain  982 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:12:26 UTC  Ancient:#12922522 AB:#12925372    3/25 peers      2 MiB chain  543 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:12:52 UTC Syncing #13374899 0x10fe…8821     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12922522 LI:#13374913    5/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:12:56 UTC Syncing #13374899 0x10fe…8821     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12922522 LI:#13374915    6/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:08 UTC Syncing #13374900 0x114e…3603     0.10 blk/s   42.8 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#12922523 LI:#13374915    7/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:08 UTC Syncing #13374900 0x114e…3603     0.20 blk/s   85.6 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#12922523 LI:#13374915    7/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:11 UTC Syncing #13374900 0x114e…3603     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12922523 LI:#13374915    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:16 UTC Syncing #13374900 0x114e…3603     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12922523 LI:#13374917    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:21 UTC Syncing #13374900 0x114e…3603     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12922523 LI:#13374917    9/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:26 UTC Syncing #13374900 0x114e…3603     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12922523 LI:#13374918   10/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:37 UTC Syncing #13374901 0x6433…f191     0.10 blk/s   37.5 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#12922524 LI:#13374918    9/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:37 UTC Syncing #13374901 0x6433…f191     0.20 blk/s   75.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12922524 LI:#13374918    9/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:13:41 UTC Syncing #13374901 0x6433…f191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12922524 LI:#13374919    8/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
