2021-10-06 06:09:41 UTC Syncing #13363745 0xf948…5ec1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12416098 LI:#13363767   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:09:41 UTC Syncing #13363745 0xf948…5ec1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416098 LI:#13363768   20/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:09:50 UTC Syncing #13363745 0xf948…5ec1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416098 LI:#13363769   20/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:09:59 UTC Syncing #13363746 0x1d53…d51b     0.20 blk/s  138.3 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#12416099 LI:#13363771   20/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:09:59 UTC Syncing #13363746 0x1d53…d51b     0.10 blk/s   69.2 tx/s    3.0 Mgas/s      0+   27 Qed Ancient:#12416099 LI:#13363771   20/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:06 UTC Syncing #13363746 0x1d53…d51b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416099 LI:#13363771   20/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:07 UTC Syncing #13363746 0x1d53…d51b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416099 LI:#13363772   20/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:14 UTC Syncing #13363749 0x333d…f4f8     0.60 blk/s   74.0 tx/s    7.1 Mgas/s      0+   26 Qed Ancient:#12416102 LI:#13363773   20/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:22 UTC Syncing #13363749 0x333d…f4f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416102 LI:#13363773   20/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:22 UTC Syncing #13363749 0x333d…f4f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416102 LI:#13363773   20/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:30 UTC Syncing #13363750 0xdb80…1e85     0.20 blk/s   41.2 tx/s    4.4 Mgas/s      0+   26 Qed Ancient:#12416103 LI:#13363774   20/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:31 UTC Syncing #13363750 0xdb80…1e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416103 LI:#13363775   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:36 UTC Syncing #13363751 0xe65b…84b9     0.20 blk/s   48.2 tx/s    4.0 Mgas/s      0+   26 Qed Ancient:#12416104 LI:#13363775   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:44 UTC Syncing #13363751 0xe65b…84b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416104 LI:#13363776   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:46 UTC Syncing #13363752 0x02dc…a5dc     0.20 blk/s   21.4 tx/s    2.0 Mgas/s      0+   26 Qed Ancient:#12416105 LI:#13363776   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:51 UTC Syncing #13363752 0x02dc…a5dc     0.20 blk/s   17.6 tx/s    1.7 Mgas/s      0+   26 Qed Ancient:#12416106 LI:#13363777   17/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:10:59 UTC Syncing #13363753 0x4c60…c1a5     0.20 blk/s   12.2 tx/s    0.9 Mgas/s      0+   25 Qed Ancient:#12416107 LI:#13363777   17/25 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:07 UTC Syncing #13363754 0x6eac…e975     0.10 blk/s   10.6 tx/s    0.9 Mgas/s      0+   24 Qed Ancient:#12416108 LI:#13363778   17/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:07 UTC Syncing #13363754 0x6eac…e975     0.20 blk/s   21.2 tx/s    1.8 Mgas/s      0+   24 Qed Ancient:#12416108 LI:#13363778   17/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:11 UTC Syncing #13363754 0x6eac…e975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416108 LI:#13363778   16/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:16 UTC Syncing #13363754 0x6eac…e975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416108 LI:#13363778   16/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:21 UTC Syncing #13363754 0x6eac…e975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416108 LI:#13363778   15/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:28 UTC Syncing #13363755 0x05f2…42c2     0.20 blk/s  223.4 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12416110 LI:#13363779   15/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:31 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416110 LI:#13363779   16/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:36 UTC Syncing #13363755 0x05f2…42c2     0.20 blk/s  199.2 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12416111 LI:#13363780   18/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:41 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416111 LI:#13363781   18/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:46 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416111 LI:#13363781   21/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:55 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:11:57 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   25/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:01 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:06 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416111 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:11 UTC Syncing #13363755 0x05f2…42c2     0.20 blk/s  179.8 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12416112 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:12:16 UTC Syncing #13363755 0x05f2…42c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416112 LI:#13363782   26/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
