2021-10-08 04:01:02 UTC Syncing #13375918 0xc7da…b7e9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12968632 LI:#13375931   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:07 UTC Syncing #13375919 0x8b6d…21b0     0.20 blk/s   38.8 tx/s    2.0 Mgas/s      0+   12 Qed Ancient:#12968633 LI:#13375932   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:12 UTC Syncing #13375919 0x8b6d…21b0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12968633 LI:#13375932   18/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:17 UTC Syncing #13375920 0xe85a…8990     0.20 blk/s   23.2 tx/s    1.6 Mgas/s      0+   12 Qed Ancient:#12968634 LI:#13375933   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:23 UTC Syncing #13375920 0xe85a…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12968634 LI:#13375933   22/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:32 UTC Syncing #13375920 0xe85a…8990     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12968634 LI:#13375933   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:01:52 UTC Syncing #13375921 0x81a8…5e25     0.05 blk/s   14.3 tx/s    1.1 Mgas/s      0+   12 Qed Ancient:#12968692 LI:#13375933   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:02:28 UTC Syncing #13375921 0x81a8…5e25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12969147 LI:#13375933   23/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:02:32 UTC Syncing #13375921 0x81a8…5e25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12969155 LI:#13375934   23/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:02:38 UTC Syncing #13375922 0x01f4…0feb     0.18 blk/s   27.7 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#12969156 LI:#13375934   23/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:02:47 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12969156 LI:#13375934   18/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:02:52 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12969156 LI:#13375934   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:05 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12969156 LI:#13375935   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:05 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12969156 LI:#13375935   11/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:07 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12969156 LI:#13375937    9/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:12 UTC Syncing #13375922 0x01f4…0feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12969156 LI:#13375937    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:22 UTC Syncing #13375923 0x1e6c…7935     0.20 blk/s   70.0 tx/s    5.2 Mgas/s      0+   13 Qed Ancient:#12969157 LI:#13375937    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:22 UTC Syncing #13375923 0x1e6c…7935     0.10 blk/s   35.0 tx/s    2.6 Mgas/s      0+   13 Qed Ancient:#12969157 LI:#13375937    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:34 UTC Syncing #13375924 0x9e21…cc14     0.20 blk/s   30.2 tx/s    2.0 Mgas/s      0+   13 Qed Ancient:#12969158 LI:#13375938    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:34 UTC Syncing #13375924 0x9e21…cc14     0.10 blk/s   15.1 tx/s    1.0 Mgas/s      0+   13 Qed Ancient:#12969158 LI:#13375938    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:37 UTC Syncing #13375924 0x9e21…cc14     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12969158 LI:#13375942   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:42 UTC Syncing #13375924 0x9e21…cc14     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12969158 LI:#13375944   11/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:51 UTC Syncing #13375925 0x3dd1…6f72     0.20 blk/s   33.6 tx/s    2.8 Mgas/s      0+   19 Qed Ancient:#12969159 LI:#13375944   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:52 UTC Syncing #13375925 0x3dd1…6f72     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12969159 LI:#13375944   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:03:58 UTC Syncing #13375926 0xb3e1…8da2     0.20 blk/s   13.0 tx/s    1.4 Mgas/s      0+   19 Qed Ancient:#12969160 LI:#13375945   11/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:06 UTC Syncing #13375926 0xb3e1…8da2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12969160 LI:#13375946   10/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:07 UTC Syncing #13375926 0xb3e1…8da2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12969160 LI:#13375947   10/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:19 UTC Syncing #13375926 0xb3e1…8da2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12969160 LI:#13375947   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:19 UTC Syncing #13375928 0xbfc4…5876     0.20 blk/s   14.4 tx/s    2.0 Mgas/s      0+   19 Qed Ancient:#12969162 LI:#13375947   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:26 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12969162 LI:#13375948   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:27 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12969162 LI:#13375950   10/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:32 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12969162 LI:#13375950   11/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:37 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12969162 LI:#13375950   12/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:42 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12969162 LI:#13375950   17/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:04:47 UTC Syncing #13375928 0xbfc4…5876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12969162 LI:#13375951   20/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:00 UTC Syncing #13375929 0xc15b…b0d2     0.10 blk/s   34.0 tx/s    3.0 Mgas/s      0+   22 Qed Ancient:#12969164 LI:#13375951   18/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:00 UTC Syncing #13375929 0xc15b…b0d2     0.20 blk/s   68.0 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#12969164 LI:#13375951   18/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:02 UTC Syncing #13375929 0xc15b…b0d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12969164 LI:#13375952   16/25 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:07 UTC Syncing #13375929 0xc15b…b0d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12969164 LI:#13375952   16/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:12 UTC Syncing #13375929 0xc15b…b0d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12969164 LI:#13375952   22/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:21 UTC Syncing #13375930 0x1b4c…b45a     0.20 blk/s   96.8 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12969165 LI:#13375952   22/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:22 UTC Syncing #13375930 0x1b4c…b45a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12969165 LI:#13375953   22/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:55 UTC Syncing #13375931 0x8a3f…3e16     0.03 blk/s    6.5 tx/s    0.5 Mgas/s      0+   25 Qed Ancient:#12969525 LI:#13375954   19/25 peers    0 bytes chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:59 UTC Syncing #13375931 0x8a3f…3e16     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12969646 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:59 UTC Syncing #13375931 0x8a3f…3e16     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12969646 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:59 UTC Syncing #13375931 0x8a3f…3e16     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12969646 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:05:59 UTC Syncing #13375931 0x8a3f…3e16     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12969646 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:08 UTC Syncing #13375932 0xc13f…8c25     0.12 blk/s   24.2 tx/s    1.5 Mgas/s      0+   24 Qed Ancient:#12969647 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:08 UTC Syncing #13375931 0x8a3f…3e16     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12969646 LI:#13375955   19/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:15 UTC Syncing #13375932 0xc13f…8c25     0.20 blk/s   41.0 tx/s    2.6 Mgas/s      0+   27 Qed Ancient:#12969647 LI:#13375957   16/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:23 UTC Syncing #13375933 0xad55…65b5     0.10 blk/s    8.2 tx/s    0.6 Mgas/s      0+   27 Qed Ancient:#12969649 LI:#13375958   16/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:23 UTC Syncing #13375933 0xad55…65b5     0.20 blk/s   16.4 tx/s    1.2 Mgas/s      0+   27 Qed Ancient:#12969649 LI:#13375958   16/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:27 UTC Syncing #13375933 0xad55…65b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12969649 LI:#13375959   16/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:32 UTC Syncing #13375933 0xad55…65b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12969649 LI:#13375959   13/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:37 UTC Syncing #13375933 0xad55…65b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12969649 LI:#13375960   14/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:43 UTC Syncing #13375934 0x05ed…a053     0.20 blk/s   85.4 tx/s    6.0 Mgas/s      0+   28 Qed Ancient:#12969651 LI:#13375960   15/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:49 UTC Syncing #13375934 0x05ed…a053     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12969651 LI:#13375962   11/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:52 UTC Syncing #13375934 0x05ed…a053     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12969651 LI:#13375964   10/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:06:57 UTC Syncing #13375934 0x05ed…a053     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12969651 LI:#13375964   13/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:02 UTC Syncing #13375934 0x05ed…a053     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12969651 LI:#13375965   17/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:16 UTC Syncing #13375936 0xb325…390c     0.40 blk/s   91.4 tx/s    6.0 Mgas/s      0+   32 Qed Ancient:#12969653 LI:#13375965   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:16 UTC Syncing #13375936 0xb325…390c     0.20 blk/s   45.7 tx/s    3.0 Mgas/s      0+   32 Qed Ancient:#12969653 LI:#13375965   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:28 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12969653 LI:#13375965   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:28 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12969653 LI:#13375965   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:28 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12969653 LI:#13375965   17/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:32 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12969653 LI:#13375967   14/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:37 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12969653 LI:#13375967   12/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 04:07:42 UTC Syncing #13375936 0xb325…390c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12969653 LI:#13375967   15/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
