2021-10-06 00:05:10 UTC Syncing #13362108 0x9f00…2865     0.20 blk/s   31.6 tx/s    1.9 Mgas/s      0+   12 Qed Ancient:#12332285 LI:#13362121   40/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:15 UTC Syncing #13362110 0xfd74…3bfa     0.40 blk/s   26.4 tx/s    3.2 Mgas/s      0+   10 Qed Ancient:#12332287 LI:#13362121   40/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:20 UTC Syncing #13362110 0xfd74…3bfa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12332287 LI:#13362122   41/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:25 UTC Syncing #13362112 0x399e…ecfa     0.40 blk/s   99.2 tx/s    8.3 Mgas/s      0+    9 Qed Ancient:#12332289 LI:#13362122   41/50 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:30 UTC Syncing #13362114 0x92ad…3478     0.40 blk/s   22.6 tx/s    1.8 Mgas/s      0+    8 Qed Ancient:#12332291 LI:#13362123   42/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:35 UTC Syncing #13362115 0xb8cd…6582     0.20 blk/s   27.8 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#12332292 LI:#13362123   42/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:40 UTC Syncing #13362116 0x1c91…fcc0     0.20 blk/s   21.0 tx/s    3.6 Mgas/s      0+    6 Qed Ancient:#12332293 LI:#13362123   42/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:45 UTC Syncing #13362117 0x3dd0…4443     0.20 blk/s   48.6 tx/s    3.5 Mgas/s      0+    5 Qed Ancient:#12332294 LI:#13362123   42/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:05:50 UTC Syncing #13362118 0x6ee9…2aed     0.20 blk/s   32.2 tx/s    3.5 Mgas/s      0+    4 Qed Ancient:#12332295 LI:#13362123   40/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:06:20 UTC  Ancient:#12332301 AB:#12335732   39/50 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:05 UTC  Ancient:#12333566 AB:#12335732   39/50 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:05 UTC  Ancient:#12333566 AB:#12335732   39/50 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:05 UTC  Ancient:#12333566 AB:#12335732   39/50 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:06 UTC Imported #13362124 0xf4d9…651c (332 txs, 26.99 Mgas, 6209 ms, 143.75 KiB)
2021-10-06 00:07:15 UTC Syncing #13362124 0xf4d9…651c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333569 LI:#13362129   35/50 peers    216 KiB chain  603 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:21 UTC Syncing #13362124 0xf4d9…651c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333569 LI:#13362129   29/50 peers    216 KiB chain  603 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:30 UTC Syncing #13362125 0x4941…8c65     0.10 blk/s   30.0 tx/s    2.4 Mgas/s      0+    4 Qed Ancient:#12333570 LI:#13362130   24/25 peers    216 KiB chain  611 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:35 UTC Syncing #13362125 0x4941…8c65     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333570 LI:#13362130   26/50 peers    216 KiB chain  611 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:40 UTC Syncing #13362127 0x4159…147f     0.40 blk/s   39.2 tx/s    3.2 Mgas/s      0+    4 Qed Ancient:#12333572 LI:#13362131   24/25 peers    356 KiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:45 UTC Syncing #13362127 0x4159…147f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12333572 LI:#13362132   26/50 peers    356 KiB chain  817 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:50 UTC Syncing #13362127 0x4159…147f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12333572 LI:#13362132   26/50 peers    356 KiB chain  817 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:07:55 UTC Syncing #13362128 0xd0fb…b7dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12333572 LI:#13362132   26/50 peers    357 KiB chain  817 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:00 UTC Syncing #13362129 0x4981…332a     0.40 blk/s   60.4 tx/s    3.5 Mgas/s      0+    4 Qed Ancient:#12333574 LI:#13362132   26/50 peers    357 KiB chain  462 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:05 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333574 LI:#13362132   28/50 peers    357 KiB chain  462 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:10 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12333574 LI:#13362132   29/50 peers    357 KiB chain  462 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:15 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12333574 LI:#13362133   29/50 peers    357 KiB chain  946 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:20 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12333574 LI:#13362134   28/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:25 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12333574 LI:#13362136   28/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:30 UTC Syncing #13362129 0x4981…332a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12333574 LI:#13362136   29/50 peers    358 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:35 UTC Syncing #13362130 0xb996…c057     0.20 blk/s   41.4 tx/s    5.5 Mgas/s      0+    7 Qed Ancient:#12333575 LI:#13362136   29/50 peers    658 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:08:40 UTC Syncing #13362131 0x3b0d…5322     0.20 blk/s   21.4 tx/s    1.6 Mgas/s      0+    6 Qed Ancient:#12333576 LI:#13362136   30/50 peers    938 KiB chain  978 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
