2021-10-07 13:35:14 UTC Syncing #13372081 0x9867…b318     0.30 blk/s   43.5 tx/s    2.9 Mgas/s      0+   17 Qed Ancient:#12781874 LI:#13372098   17/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:14 UTC Syncing #13372079 0x32fe…2b95     0.20 blk/s   33.8 tx/s    2.6 Mgas/s      0+   19 Qed Ancient:#12781872 LI:#13372098   17/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:21 UTC Syncing #13372081 0x9867…b318     0.40 blk/s   53.2 tx/s    3.2 Mgas/s      0+   17 Qed Ancient:#12781874 LI:#13372098   17/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:31 UTC Syncing #13372082 0xc410…8884     0.10 blk/s   10.6 tx/s    0.6 Mgas/s      0+   19 Qed Ancient:#12781875 LI:#13372100   16/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:31 UTC Syncing #13372082 0xc410…8884     0.20 blk/s   21.0 tx/s    1.2 Mgas/s      0+   19 Qed Ancient:#12781875 LI:#13372100   16/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:33 UTC Syncing #13372082 0xc410…8884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12781875 LI:#13372100   15/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:48 UTC Syncing #13372083 0xa5ed…9230     0.10 blk/s   35.5 tx/s    2.5 Mgas/s      0+   18 Qed Ancient:#12781876 LI:#13372100   15/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:48 UTC Syncing #13372083 0xa5ed…9230     0.20 blk/s   71.0 tx/s    4.9 Mgas/s      0+   18 Qed Ancient:#12781876 LI:#13372100   15/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:48 UTC Syncing #13372083 0xa5ed…9230     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12781876 LI:#13372101   15/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:35:53 UTC Syncing #13372084 0x35be…ea42     0.20 blk/s   44.2 tx/s    3.7 Mgas/s      0+   19 Qed Ancient:#12781877 LI:#13372102   14/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:36:02 UTC Syncing #13372084 0x35be…ea42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12781877 LI:#13372102   14/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
