2021-10-07 14:50:25 UTC Syncing #13372387 0xf7d6…9fdc     0.20 blk/s   27.9 tx/s    1.9 Mgas/s      0+   32 Qed Ancient:#12795860 LI:#13372419   17/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:25 UTC Syncing #13372384 0x4ba1…1730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795857 LI:#13372419   17/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:34 UTC Syncing #13372387 0xf7d6…9fdc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795860 LI:#13372420   16/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:34 UTC Syncing #13372387 0xf7d6…9fdc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795860 LI:#13372420   16/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:43 UTC Syncing #13372388 0xe66f…3909     0.10 blk/s   21.6 tx/s    1.1 Mgas/s      0+   33 Qed Ancient:#12795861 LI:#13372421   15/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:43 UTC Syncing #13372388 0xe66f…3909     0.20 blk/s   43.2 tx/s    2.2 Mgas/s      0+   33 Qed Ancient:#12795861 LI:#13372421   15/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:55 UTC Syncing #13372390 0xbb0a…f962     0.20 blk/s   33.4 tx/s    2.3 Mgas/s      0+   33 Qed Ancient:#12795863 LI:#13372423   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:50:55 UTC Syncing #13372389 0xaed7…c5bc     0.20 blk/s   52.8 tx/s    3.6 Mgas/s      0+   34 Qed Ancient:#12795862 LI:#13372423   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:03 UTC Syncing #13372391 0x6927…53c9     0.20 blk/s   19.9 tx/s    1.4 Mgas/s      0+   33 Qed Ancient:#12795864 LI:#13372424   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:03 UTC Syncing #13372390 0xbb0a…f962     0.20 blk/s   14.0 tx/s    0.9 Mgas/s      0+   34 Qed Ancient:#12795863 LI:#13372424   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:14 UTC Syncing #13372392 0x6417…6922     0.20 blk/s   17.7 tx/s    1.1 Mgas/s      0+   32 Qed Ancient:#12795865 LI:#13372424   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:14 UTC Syncing #13372392 0x6417…6922     0.40 blk/s   35.4 tx/s    2.2 Mgas/s      0+   32 Qed Ancient:#12795865 LI:#13372424   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:21 UTC Syncing #13372392 0x6417…6922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795865 LI:#13372425   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:21 UTC Syncing #13372392 0x6417…6922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795865 LI:#13372426   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:26 UTC Syncing #13372392 0x6417…6922     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795865 LI:#13372426   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:37 UTC Syncing #13372393 0x09b1…a7f5     0.10 blk/s   24.9 tx/s    1.8 Mgas/s      0+   33 Qed Ancient:#12795866 LI:#13372426   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:37 UTC Syncing #13372393 0x09b1…a7f5     0.20 blk/s   50.4 tx/s    3.7 Mgas/s      0+   33 Qed Ancient:#12795866 LI:#13372426   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:41 UTC Syncing #13372393 0x09b1…a7f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795866 LI:#13372427   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:50 UTC Syncing #13372394 0x0895…73b2     0.20 blk/s   70.4 tx/s    4.7 Mgas/s      0+   33 Qed Ancient:#12795867 LI:#13372427   13/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:51:51 UTC Syncing #13372394 0x0895…73b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795867 LI:#13372427    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:02 UTC Syncing #13372395 0x926a…841f     0.10 blk/s   19.4 tx/s    1.5 Mgas/s      0+   32 Qed Ancient:#12795868 LI:#13372428    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:02 UTC Syncing #13372395 0x926a…841f     0.20 blk/s   38.8 tx/s    3.0 Mgas/s      0+   32 Qed Ancient:#12795868 LI:#13372428    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:11 UTC Syncing #13372397 0x0c5d…3b88     0.40 blk/s   31.8 tx/s    2.1 Mgas/s      0+   31 Qed Ancient:#12795870 LI:#13372428    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:11 UTC Syncing #13372397 0x0c5d…3b88     0.20 blk/s   15.9 tx/s    1.0 Mgas/s      0+   31 Qed Ancient:#12795870 LI:#13372428    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:16 UTC Syncing #13372397 0x0c5d…3b88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795870 LI:#13372430    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:21 UTC Syncing #13372397 0x0c5d…3b88     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795870 LI:#13372430    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:40 UTC Syncing #13372398 0x7bed…032c     0.07 blk/s   28.7 tx/s    2.0 Mgas/s      0+   33 Qed Ancient:#12795872 LI:#13372431    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:40 UTC Syncing #13372398 0x7bed…032c     0.20 blk/s   86.2 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12795872 LI:#13372431    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:40 UTC Syncing #13372398 0x7bed…032c     0.10 blk/s   43.1 tx/s    3.0 Mgas/s      0+   33 Qed Ancient:#12795872 LI:#13372431    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:41 UTC Syncing #13372398 0x7bed…032c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795872 LI:#13372433    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:49 UTC Syncing #13372399 0xb2aa…11d0     0.20 blk/s   61.8 tx/s    5.7 Mgas/s      0+   35 Qed Ancient:#12795873 LI:#13372435    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:59 UTC Syncing #13372400 0xbf58…9b98     0.10 blk/s   16.3 tx/s    1.3 Mgas/s      0+   35 Qed Ancient:#12795874 LI:#13372435    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:52:59 UTC Syncing #13372400 0xbf58…9b98     0.20 blk/s   32.6 tx/s    2.6 Mgas/s      0+   35 Qed Ancient:#12795874 LI:#13372435    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:10 UTC Syncing #13372401 0xc453…0adc     0.10 blk/s   20.1 tx/s    1.4 Mgas/s      0+   34 Qed Ancient:#12795875 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:10 UTC Syncing #13372401 0xc453…0adc     0.20 blk/s   40.2 tx/s    2.7 Mgas/s      0+   34 Qed Ancient:#12795875 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:20 UTC Syncing #13372402 0x016d…45b9     0.20 blk/s   42.8 tx/s    3.1 Mgas/s      0+   33 Qed Ancient:#12795876 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:20 UTC Syncing #13372403 0x7f60…c191     0.20 blk/s   45.6 tx/s    2.6 Mgas/s      0+   32 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:29 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:29 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:31 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795877 LI:#13372437    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:36 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795877 LI:#13372437    7/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:41 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795877 LI:#13372438    7/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:49 UTC Syncing #13372404 0x6661…e31d     0.20 blk/s   88.6 tx/s    6.0 Mgas/s      0+   35 Qed Ancient:#12795878 LI:#13372439    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
