2021-10-06 00:21:56 UTC  Ancient:#12339921 AB:#12342553   28/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:22:28 UTC  Ancient:#12340162 AB:#12343448   31/50 peers      1 MiB chain  168 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:23:00 UTC  Ancient:#12340163 AB:#12343448   32/50 peers      1 MiB chain  599 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:23:30 UTC  Ancient:#12340165 AB:#12343448   31/50 peers      1 MiB chain  285 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:24:00 UTC  Ancient:#12340165 AB:#12343448   31/50 peers      1 MiB chain  918 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:24:30 UTC  Ancient:#12340167 AB:#12343448   29/50 peers      1 MiB chain  835 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:25:00 UTC  Ancient:#12340168 AB:#12343448   29/50 peers      1 MiB chain  728 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:25:47 UTC  Ancient:#12340171 AB:#12343502   34/50 peers      1 MiB chain  921 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:24 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362201   30/50 peers     72 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:30 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12340923 LI:#13362201   16/25 peers    147 KiB chain  977 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:36 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362202   19/25 peers    147 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:40 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362202   19/25 peers    147 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:45 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362202   19/25 peers    147 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:26:50 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362202   16/25 peers    147 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:00 UTC Syncing #13362195 0xc4f3…63fb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340923 LI:#13362202   16/25 peers    147 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:17 UTC Syncing #13362196 0x31fd…6f6f     0.21 blk/s   80.2 tx/s    6.1 Mgas/s      0+    5 Qed Ancient:#12340925 LI:#13362202   14/25 peers    217 KiB chain  923 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:17 UTC Syncing #13362196 0x31fd…6f6f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12340925 LI:#13362202   14/25 peers    217 KiB chain  923 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:24 UTC Syncing #13362196 0x31fd…6f6f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12340925 LI:#13362203   14/25 peers    217 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:25 UTC Syncing #13362197 0x6441…08bf     0.20 blk/s   34.2 tx/s    3.4 Mgas/s      0+    7 Qed Ancient:#12340926 LI:#13362205   14/25 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:30 UTC Syncing #13362197 0x6441…08bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340926 LI:#13362206   14/25 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:40 UTC Syncing #13362198 0x5f68…3257     0.20 blk/s   12.0 tx/s    0.8 Mgas/s      0+    7 Qed Ancient:#12340927 LI:#13362206   14/25 peers    358 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:40 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340927 LI:#13362207   14/25 peers    358 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:45 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340927 LI:#13362207   12/25 peers    358 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:50 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340927 LI:#13362207   16/25 peers    449 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:27:55 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340927 LI:#13362207   17/25 peers    654 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:00 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12340927 LI:#13362207   19/25 peers   1009 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:05 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12340927 LI:#13362208   20/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:10 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12340927 LI:#13362208   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:15 UTC Syncing #13362198 0x5f68…3257     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12340927 LI:#13362209   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:29 UTC Syncing #13362199 0xd4f2…cfd2     0.20 blk/s   61.0 tx/s    4.8 Mgas/s      0+   10 Qed Ancient:#12340928 LI:#13362209   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:29 UTC Syncing #13362199 0xd4f2…cfd2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12340928 LI:#13362209   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:36 UTC Syncing #13362201 0x074b…9a30     0.36 blk/s   11.4 tx/s    0.9 Mgas/s      0+    9 Qed Ancient:#12340930 LI:#13362211   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:43 UTC Syncing #13362201 0x074b…9a30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12340930 LI:#13362212   21/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:45 UTC Syncing #13362201 0x074b…9a30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12340930 LI:#13362213   21/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:28:50 UTC Syncing #13362201 0x074b…9a30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12340930 LI:#13362213   20/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:29:48 UTC Syncing #13362202 0x0027…3e08     0.02 blk/s    3.4 tx/s    0.3 Mgas/s      0+   18 Qed Ancient:#12341320 LI:#13362219   25/25 peers   432 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:30:12 UTC Syncing #13362202 0x0027…3e08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12341923 LI:#13362221   26/50 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:30:38 UTC Syncing #13362202 0x0027…3e08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12341948 LI:#13362221   26/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:30:38 UTC Syncing #13362202 0x0027…3e08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12341948 LI:#13362221   26/50 peers    637 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
