2021-10-06 00:40:53 UTC Syncing #13362229 0x49b4…f8d2     0.20 blk/s   25.8 tx/s    2.6 Mgas/s      0+   35 Qed Ancient:#12343583 LI:#13362264   18/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:40:55 UTC Syncing #13362229 0x49b4…f8d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343583 LI:#13362265   17/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:00 UTC Syncing #13362229 0x49b4…f8d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343583 LI:#13362265   17/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:05 UTC Syncing #13362229 0x49b4…f8d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343583 LI:#13362265   17/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:10 UTC Syncing #13362229 0x49b4…f8d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343583 LI:#13362266   14/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:15 UTC Syncing #13362229 0x49b4…f8d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343583 LI:#13362266   15/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:22 UTC Syncing #13362231 0x951e…a4da     0.41 blk/s   58.8 tx/s    5.8 Mgas/s      0+   35 Qed Ancient:#12343585 LI:#13362266   14/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:25 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12343585 LI:#13362266   16/25 peers      1 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:36 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343585 LI:#13362267   17/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:36 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343585 LI:#13362267   17/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:40 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343585 LI:#13362269   14/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:45 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343585 LI:#13362269   19/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:41:54 UTC Syncing #13362231 0x951e…a4da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343585 LI:#13362269   19/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:01 UTC Syncing #13362233 0x085a…9b1a     0.20 blk/s   50.6 tx/s    3.2 Mgas/s      0+   37 Qed Ancient:#12343587 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:01 UTC Syncing #13362232 0xaac6…31ad     0.20 blk/s   79.4 tx/s    4.9 Mgas/s      0+   38 Qed Ancient:#12343586 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:08 UTC Syncing #13362233 0x085a…9b1a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343587 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:24 UTC Syncing #13362234 0x7f77…2fe4     0.10 blk/s    7.1 tx/s    0.5 Mgas/s      0+   36 Qed Ancient:#12343588 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:24 UTC Syncing #13362234 0x7f77…2fe4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12343588 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:24 UTC Syncing #13362234 0x7f77…2fe4     0.20 blk/s   14.2 tx/s    1.0 Mgas/s      0+   36 Qed Ancient:#12343588 LI:#13362270   18/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:36 UTC Syncing #13362234 0x7f77…2fe4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343588 LI:#13362272   19/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:36 UTC Syncing #13362234 0x7f77…2fe4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343588 LI:#13362272   19/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:40 UTC Syncing #13362234 0x7f77…2fe4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343588 LI:#13362272   18/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:45 UTC Syncing #13362234 0x7f77…2fe4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343588 LI:#13362272   17/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:53 UTC Syncing #13362235 0x69b7…7513     0.20 blk/s   54.0 tx/s    5.8 Mgas/s      0+   38 Qed Ancient:#12343589 LI:#13362272   15/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:42:55 UTC Syncing #13362235 0x69b7…7513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343590 LI:#13362273   16/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:00 UTC Syncing #13362235 0x69b7…7513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343590 LI:#13362273   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:09 UTC Syncing #13362236 0x1afc…d09a     0.20 blk/s   16.4 tx/s    2.1 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   19/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:10 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   19/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:15 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12343591 LI:#13362273   24/25 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:28 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:28 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:43:33 UTC Syncing #13362236 0x1afc…d09a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12343591 LI:#13362274   24/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
