2021-10-06 00:45:55 UTC Syncing #13362243 0x089c…37b8     0.20 blk/s    4.2 tx/s    0.4 Mgas/s      0+   40 Qed Ancient:#12343598 LI:#13362283   20/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:00 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343598 LI:#13362284   23/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:05 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343598 LI:#13362284   23/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:17 UTC Syncing #13362244 0x5e53…4dac     0.09 blk/s   27.5 tx/s    2.6 Mgas/s      0+   44 Qed Ancient:#12343620 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:17 UTC Syncing #13362243 0x089c…37b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343598 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:27 UTC Syncing #13362244 0x5e53…4dac     0.29 blk/s   92.3 tx/s    8.7 Mgas/s      0+   43 Qed Ancient:#12343621 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:27 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343621 LI:#13362286   20/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:30 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   21/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:40 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   24/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:40 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   24/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:49 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   26/50 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:46:50 UTC Syncing #13362244 0x5e53…4dac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343621 LI:#13362287   25/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:01 UTC Syncing #13362245 0xe94e…0481     0.10 blk/s   36.0 tx/s    3.0 Mgas/s      0+   43 Qed Ancient:#12343622 LI:#13362287   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:01 UTC Syncing #13362245 0xe94e…0481     0.20 blk/s   72.0 tx/s    6.0 Mgas/s      0+   43 Qed Ancient:#12343622 LI:#13362287   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:05 UTC Syncing #13362245 0xe94e…0481     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343622 LI:#13362288   24/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:13 UTC Syncing #13362246 0xc19c…9120     0.20 blk/s   20.2 tx/s    2.7 Mgas/s      0+   43 Qed Ancient:#12343623 LI:#13362288   24/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:20 UTC Syncing #13362247 0x558b…b98d     0.20 blk/s    8.8 tx/s    0.8 Mgas/s      0+   42 Qed Ancient:#12343624 LI:#13362288   24/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:20 UTC Syncing #13362247 0x558b…b98d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343624 LI:#13362289   24/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:30 UTC Syncing #13362249 0xa2cb…0766     0.20 blk/s   18.9 tx/s    1.6 Mgas/s      0+   41 Qed Ancient:#12343626 LI:#13362289   23/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:30 UTC Syncing #13362249 0xa2cb…0766     0.40 blk/s   37.8 tx/s    3.2 Mgas/s      0+   41 Qed Ancient:#12343626 LI:#13362289   23/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:50 UTC Syncing #13362249 0xa2cb…0766     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343626 LI:#13362290   21/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:50 UTC Syncing #13362249 0xa2cb…0766     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343626 LI:#13362290   21/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:50 UTC Syncing #13362249 0xa2cb…0766     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343626 LI:#13362290   21/25 peers      6 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:47:55 UTC Syncing #13362249 0xa2cb…0766     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343626 LI:#13362291   18/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:00 UTC Syncing #13362249 0xa2cb…0766     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343626 LI:#13362292   18/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:08 UTC Syncing #13362250 0x829c…7a26     0.20 blk/s   52.4 tx/s    6.0 Mgas/s      0+   43 Qed Ancient:#12343627 LI:#13362292   20/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:10 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343627 LI:#13362292   21/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:15 UTC Syncing #13362250 0x829c…7a26     0.20 blk/s   50.0 tx/s    6.0 Mgas/s      0+   42 Qed Ancient:#12343628 LI:#13362292   25/25 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:20 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12343628 LI:#13362292   26/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:25 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343628 LI:#13362293   26/50 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:30 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343628 LI:#13362293   26/50 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:35 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343628 LI:#13362293   26/50 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:40 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343628 LI:#13362293   27/50 peers      8 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:45 UTC Syncing #13362250 0x829c…7a26     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343628 LI:#13362293   27/50 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:48:51 UTC Reorg to #13362251 0x7f2b…4a0d (0x829c…7a26 #13362249 0xa2cb…0766 0xa499…7dd7)
2021-10-06 00:48:51 UTC Syncing #13362251 0x7f2b…4a0d     0.17 blk/s   89.4 tx/s    5.1 Mgas/s      0+   44 Qed Ancient:#12343628 LI:#13362294   26/50 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:02 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343629 LI:#13362294   26/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:02 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343629 LI:#13362294   26/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:05 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12343629 LI:#13362295   23/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:10 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343629 LI:#13362297   23/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:21 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343629 LI:#13362297   25/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:21 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343629 LI:#13362297   25/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:25 UTC Syncing #13362251 0x7f2b…4a0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343629 LI:#13362298   26/50 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:36 UTC Syncing #13362253 0x3c61…c721     0.40 blk/s   45.0 tx/s    6.0 Mgas/s      0+   45 Qed Ancient:#12343631 LI:#13362298   26/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:36 UTC Syncing #13362253 0x3c61…c721     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12343631 LI:#13362298   26/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:49:52 UTC Syncing #13362254 0x1b29…120b     0.06 blk/s   11.2 tx/s    1.2 Mgas/s      0+   48 Qed Ancient:#12343632 LI:#13362301   19/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:03 UTC Syncing #13362254 0x1b29…120b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343632 LI:#13362301   19/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:03 UTC Syncing #13362255 0xc629…1ebd     0.09 blk/s   15.8 tx/s    1.3 Mgas/s      0+   47 Qed Ancient:#12343641 LI:#13362301   19/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:08 UTC Syncing #13362255 0xc629…1ebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343641 LI:#13362301   19/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:18 UTC Syncing #13362255 0xc629…1ebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343642 LI:#13362302   18/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:18 UTC Syncing #13362255 0xc629…1ebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343642 LI:#13362302   18/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
