2021-10-07 14:44:29 UTC Syncing #13372378 0xe6ad…1033     0.20 blk/s   87.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12794669 LI:#13372386   15/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:29 UTC Syncing #13372378 0xe6ad…1033     0.10 blk/s   43.7 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#12794669 LI:#13372386   15/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:31 UTC Syncing #13372378 0xe6ad…1033     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12794669 LI:#13372387   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:40 UTC Syncing #13372379 0xb923…a534     0.20 blk/s   56.0 tx/s    4.0 Mgas/s      0+    7 Qed Ancient:#12794670 LI:#13372387   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:52 UTC Syncing #13372380 0xb986…0ce6     0.10 blk/s   14.5 tx/s    1.2 Mgas/s      0+    7 Qed Ancient:#12794671 LI:#13372388   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:52 UTC Syncing #13372380 0xb986…0ce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12794671 LI:#13372388   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:52 UTC Syncing #13372380 0xb986…0ce6     0.20 blk/s   29.0 tx/s    2.3 Mgas/s      0+    7 Qed Ancient:#12794671 LI:#13372388   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:44:56 UTC Syncing #13372380 0xb986…0ce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12794671 LI:#13372388   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:45:01 UTC Syncing #13372380 0xb986…0ce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12794671 LI:#13372389   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:45:14 UTC Syncing #13372381 0xbf24…9e7e     0.07 blk/s   31.0 tx/s    2.2 Mgas/s      0+   12 Qed Ancient:#12794672 LI:#13372393   16/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:46:37 UTC Syncing #13372381 0xbf24…9e7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12795835 LI:#13372399   11/25 peers   744 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
