2021-10-06 01:01:22 UTC Syncing #13362293 0xe787…9b7c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343681 LI:#13362341   38/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:27 UTC Syncing #13362293 0xe787…9b7c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343681 LI:#13362341   38/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:32 UTC Syncing #13362294 0x7175…e95f     0.20 blk/s   49.6 tx/s    5.0 Mgas/s      0+   47 Qed Ancient:#12343683 LI:#13362342   38/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:37 UTC Syncing #13362295 0x6e15…19fe     0.20 blk/s   15.8 tx/s    1.1 Mgas/s      0+   47 Qed Ancient:#12343684 LI:#13362343   38/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:42 UTC Syncing #13362295 0x6e15…19fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343684 LI:#13362343   38/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:47 UTC Syncing #13362296 0xa469…9abe     0.20 blk/s   10.2 tx/s    1.4 Mgas/s      0+   47 Qed Ancient:#12343685 LI:#13362344   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:52 UTC Syncing #13362296 0xa469…9abe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343685 LI:#13362344   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:01:57 UTC Syncing #13362296 0xa469…9abe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12343685 LI:#13362344   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:02 UTC Syncing #13362297 0x422d…2dc5     0.20 blk/s   20.0 tx/s    2.4 Mgas/s      0+   46 Qed Ancient:#12343686 LI:#13362344   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:07 UTC Syncing #13362297 0x422d…2dc5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343686 LI:#13362344   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:12 UTC Syncing #13362298 0xfd80…9263     0.20 blk/s    9.6 tx/s    0.9 Mgas/s      0+   46 Qed Ancient:#12343687 LI:#13362345   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:17 UTC Syncing #13362298 0xfd80…9263     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343687 LI:#13362345   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:22 UTC Syncing #13362301 0x0f75…2d77     0.60 blk/s   72.4 tx/s    6.8 Mgas/s      0+   43 Qed Ancient:#12343691 LI:#13362345   39/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:27 UTC Syncing #13362302 0x4a30…e66d     0.20 blk/s   71.0 tx/s    6.0 Mgas/s      0+   42 Qed Ancient:#12343692 LI:#13362345   39/50 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:02:32 UTC Syncing #13362302 0x4a30…e66d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12343692 LI:#13362346   39/50 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
