2021-10-06 01:16:22 UTC Syncing #13362370 0xbcbd…0f94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349219 LI:#13362399   24/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:27 UTC Syncing #13362370 0xbcbd…0f94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349219 LI:#13362400   26/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:32 UTC Syncing #13362370 0xbcbd…0f94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349219 LI:#13362400   26/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:37 UTC Syncing #13362372 0x1d3c…3596     0.40 blk/s   77.8 tx/s    4.8 Mgas/s      0+   28 Qed Ancient:#12349222 LI:#13362400   26/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:42 UTC Syncing #13362373 0x2dc1…1afa     0.20 blk/s   19.0 tx/s    2.7 Mgas/s      0+   29 Qed Ancient:#12349223 LI:#13362402   25/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:47 UTC Syncing #13362373 0x2dc1…1afa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349223 LI:#13362402   25/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:52 UTC Syncing #13362373 0x2dc1…1afa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349223 LI:#13362403   25/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:16:57 UTC Syncing #13362374 0x4f5d…67aa     0.20 blk/s   46.2 tx/s    2.9 Mgas/s      0+   30 Qed Ancient:#12349224 LI:#13362404   26/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:17:02 UTC Syncing #13362374 0x4f5d…67aa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349224 LI:#13362404   24/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:17:07 UTC Syncing #13362374 0x4f5d…67aa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349224 LI:#13362405   24/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:17:12 UTC Syncing #13362374 0x4f5d…67aa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349224 LI:#13362405   24/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
