2021-10-06 01:21:27 UTC Syncing #13362393 0x4596…727d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12349247 LI:#13362420   33/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:32 UTC Syncing #13362394 0x1032…12b8     0.20 blk/s   12.8 tx/s    1.1 Mgas/s      0+   27 Qed Ancient:#12349248 LI:#13362421   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:37 UTC Syncing #13362394 0x1032…12b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12349248 LI:#13362421   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:42 UTC Syncing #13362395 0x327e…0d77     0.20 blk/s   21.4 tx/s    1.5 Mgas/s      0+   26 Qed Ancient:#12349249 LI:#13362421   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:47 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12349249 LI:#13362421   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:52 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12349249 LI:#13362421   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:21:57 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349249 LI:#13362423   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:02 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349249 LI:#13362423   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:07 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349249 LI:#13362423   32/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:12 UTC Syncing #13362395 0x327e…0d77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12349249 LI:#13362424   32/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:17 UTC Syncing #13362396 0xd2c2…7993     0.20 blk/s   66.2 tx/s    5.9 Mgas/s      0+   30 Qed Ancient:#12349250 LI:#13362426   31/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:22 UTC Syncing #13362397 0x4228…e835     0.40 blk/s   81.8 tx/s    6.0 Mgas/s      0+   28 Qed Ancient:#12349252 LI:#13362426   31/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:27 UTC Syncing #13362398 0x37c2…1cc9     0.20 blk/s   83.4 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#12349253 LI:#13362426   32/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:32 UTC Syncing #13362398 0x37c2…1cc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12349253 LI:#13362426   31/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:37 UTC Syncing #13362399 0x9f55…20ce     0.20 blk/s   49.6 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12349254 LI:#13362426   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:42 UTC Syncing #13362402 0xdf56…91b8     0.60 blk/s   53.4 tx/s    6.5 Mgas/s      0+   23 Qed Ancient:#12349257 LI:#13362426   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:22:47 UTC Syncing #13362403 0xf815…387d     0.20 blk/s   22.0 tx/s    1.9 Mgas/s      0+   22 Qed Ancient:#12349258 LI:#13362426   32/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
