2021-10-07 16:04:16 UTC Syncing #13372758 0xb7d9…21a6     0.20 blk/s   85.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12812585 LI:#13372766    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:04:20 UTC Syncing #13372760 0x0eab…31c0     0.40 blk/s   67.6 tx/s    4.2 Mgas/s      0+    6 Qed Ancient:#12812587 LI:#13372766    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:04:26 UTC Syncing #13372760 0x0eab…31c0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12812587 LI:#13372767    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:04:30 UTC Syncing #13372762 0x7088…da48     0.40 blk/s   77.8 tx/s    5.1 Mgas/s      0+    5 Qed Ancient:#12812589 LI:#13372767    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:04:33 UTC Syncing #13372762 0x7088…da48     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12812589 LI:#13372765    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:04:38 UTC Syncing #13372763 0x5af1…2c31     0.20 blk/s  101.6 tx/s    5.9 Mgas/s      0+    5 Qed Ancient:#12812590 LI:#13372767    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:05:04 UTC Imported #13372767 0x5748…2483 (439 txs, 29.28 Mgas, 4115 ms, 125.83 KiB)
2021-10-07 16:05:13 UTC  Ancient:#12814402 AB:#12814402    2/25 peers     39 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:06:04 UTC  Ancient:#12814402 AB:#12814402    2/25 peers     76 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:06:15 UTC Reorg to #13372768 0xd955…6b50 (0x0868…baf1 0x525a…3646 #13372765 0xd87b…79fd 0xeacb…70f0 0x5748…2483)
2021-10-07 16:06:41 UTC Syncing #13372768 0xd955…6b50     0.03 blk/s    8.2 tx/s    0.5 Mgas/s      0+    9 Qed Ancient:#12814402 LI:#13372777    2/25 peers    678 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:07:04 UTC Syncing #13372768 0xd955…6b50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12814442 LI:#13372778    1/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:07:04 UTC Syncing #13372768 0xd955…6b50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12814442 LI:#13372778    1/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:07:16 UTC Syncing #13372768 0xd955…6b50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12814501 LI:#13372778    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:07:31 UTC Syncing #13372768 0xd955…6b50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12814520 LI:#13372779    1/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:07:51 UTC Syncing #13372768 0xd955…6b50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12814541 LI:#13372779    1/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
