2021-10-07 18:52:33 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853372 LI:#13373494   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:39 UTC Syncing #13373470 0x9bbc…a8fc     0.20 blk/s   73.8 tx/s    4.8 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:43 UTC Syncing #13373470 0x9bbc…a8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   33/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:48 UTC Syncing #13373470 0x9bbc…a8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:00 UTC Syncing #13373471 0x60ea…5173     0.10 blk/s   45.8 tx/s    3.0 Mgas/s      0+   25 Qed Ancient:#12853374 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:00 UTC Syncing #13373471 0x60ea…5173     0.20 blk/s   91.6 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12853374 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:03 UTC Syncing #13373471 0x60ea…5173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853374 LI:#13373495   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:11 UTC Syncing #13373471 0x60ea…5173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853374 LI:#13373495   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:17 UTC Syncing #13373472 0xda37…4a08     0.20 blk/s  107.4 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12853375 LI:#13373496   32/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:20 UTC Syncing #13373474 0x4988…a9bb     0.40 blk/s   10.0 tx/s    0.6 Mgas/s      0+   24 Qed Ancient:#12853377 LI:#13373496   32/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:23 UTC Syncing #13373474 0x4988…a9bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853377 LI:#13373496   31/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:28 UTC Syncing #13373474 0x4988…a9bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853377 LI:#13373496   18/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:33 UTC Syncing #13373474 0x4988…a9bb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853377 LI:#13373496   15/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
