2021-10-06 02:14:15 UTC Syncing #13362667 0x3040…e7ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12360220 LI:#13362679   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:14:29 UTC Syncing #13362667 0x3040…e7ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12360344 LI:#13362680   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:14:31 UTC Syncing #13362667 0x3040…e7ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12360350 LI:#13362680   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:14:48 UTC Syncing #13362668 0x1099…4248     0.06 blk/s    3.8 tx/s    0.5 Mgas/s      0+   12 Qed Ancient:#12360351 LI:#13362681   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:00 UTC Syncing #13362669 0x1e15…7a60     0.09 blk/s   18.6 tx/s    2.5 Mgas/s      0+   14 Qed Ancient:#12360357 LI:#13362684   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:11 UTC Syncing #13362671 0x33e4…5232     0.39 blk/s    8.7 tx/s    1.6 Mgas/s      0+   14 Qed Ancient:#12360360 LI:#13362685   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:13 UTC Syncing #13362671 0x33e4…5232     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12360480 LI:#13362686   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:16 UTC Syncing #13362672 0xe757…37b4     0.33 blk/s   11.7 tx/s    1.5 Mgas/s      0+   13 Qed Ancient:#12360481 LI:#13362686   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:22 UTC Syncing #13362672 0xe757…37b4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12360481 LI:#13362686   24/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:26 UTC Syncing #13362673 0xc02d…cee1     0.20 blk/s   10.6 tx/s    1.2 Mgas/s      0+   12 Qed Ancient:#12360482 LI:#13362686   26/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:31 UTC Syncing #13362675 0xc048…ef89     0.40 blk/s   26.0 tx/s    3.1 Mgas/s      0+   11 Qed Ancient:#12360484 LI:#13362687   26/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:36 UTC Syncing #13362675 0xc048…ef89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12360484 LI:#13362688   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:41 UTC Syncing #13362677 0xc714…3aa2     0.40 blk/s   28.4 tx/s    4.0 Mgas/s      0+   10 Qed Ancient:#12360486 LI:#13362688   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:47 UTC Syncing #13362677 0xc714…3aa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12360486 LI:#13362688   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:51 UTC Syncing #13362677 0xc714…3aa2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12360486 LI:#13362688   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:15:56 UTC Syncing #13362679 0x34c9…8fe9     0.40 blk/s   60.4 tx/s    7.4 Mgas/s      0+    8 Qed Ancient:#12360488 LI:#13362688   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:02 UTC Syncing #13362679 0x34c9…8fe9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12360488 LI:#13362688   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:06 UTC Syncing #13362680 0xc71c…766f     0.20 blk/s   35.2 tx/s    4.1 Mgas/s      0+    7 Qed Ancient:#12360490 LI:#13362688   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:11 UTC Syncing #13362681 0xd971…1717     0.20 blk/s   23.0 tx/s    2.1 Mgas/s      0+    7 Qed Ancient:#12360491 LI:#13362689   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:16 UTC Syncing #13362681 0xd971…1717     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12360491 LI:#13362690   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:21 UTC Syncing #13362681 0xd971…1717     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12360491 LI:#13362690   25/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:26 UTC Syncing #13362682 0x9d06…de67     0.20 blk/s   44.4 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12360492 LI:#13362691   25/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:31 UTC Syncing #13362685 0xd696…494e     0.60 blk/s   25.8 tx/s    4.0 Mgas/s      0+    5 Qed Ancient:#12360495 LI:#13362691   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:36 UTC Syncing #13362686 0xc519…29f1     0.20 blk/s   13.0 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#12360497 LI:#13362691   25/25 peers      5 MiB chain 1018 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:41 UTC Syncing #13362686 0xc519…29f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360497 LI:#13362692   25/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:46 UTC Syncing #13362687 0x7239…5723     0.20 blk/s   57.1 tx/s    6.1 Mgas/s      0+    4 Qed Ancient:#12360498 LI:#13362692   26/50 peers      5 MiB chain  814 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:16:56 UTC Syncing #13362688 0x76dd…a92b     0.10 blk/s    9.1 tx/s    1.9 Mgas/s      0+    4 Qed Ancient:#12360499 LI:#13362693   25/25 peers      5 MiB chain  773 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:01 UTC Syncing #13362688 0x76dd…a92b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360499 LI:#13362694   25/25 peers      5 MiB chain  825 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:06 UTC Syncing #13362689 0x77a0…2a0e     0.20 blk/s   58.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12360500 LI:#13362696   24/25 peers      5 MiB chain  776 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:11 UTC Syncing #13362689 0x77a0…2a0e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12360500 LI:#13362697   26/50 peers      5 MiB chain  971 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:16 UTC Syncing #13362690 0xd301…7bec     0.20 blk/s   32.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12360501 LI:#13362697   26/50 peers      5 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:21 UTC Syncing #13362692 0xfa16…bfc2     0.40 blk/s   28.8 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#12360503 LI:#13362697   26/50 peers      5 MiB chain  441 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:26 UTC Syncing #13362692 0xfa16…bfc2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360503 LI:#13362697   26/50 peers      5 MiB chain  441 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
