2021-10-06 02:26:43 UTC Syncing #13362713 0xd638…a975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12363830 LI:#13362736   23/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:26:46 UTC Syncing #13362713 0xd638…a975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12363830 LI:#13362737   24/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:26:53 UTC Syncing #13362713 0xd638…a975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12363830 LI:#13362737   24/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:26:57 UTC Syncing #13362713 0xd638…a975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12363830 LI:#13362737   24/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:27:02 UTC Syncing #13362713 0xd638…a975     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12363830 LI:#13362738   24/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:27:06 UTC Syncing #13362714 0x1b7d…a185     0.20 blk/s   84.6 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12363831 LI:#13362738   23/25 peers    915 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:27:28 UTC Syncing #13362714 0x1b7d…a185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12363831 LI:#13362740   26/50 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:29:11 UTC Syncing #13362715 0x4dc2…1005     0.01 blk/s    3.9 tx/s    0.3 Mgas/s      0+   35 Qed Ancient:#12365147 LI:#13362750   18/25 peers     36 KiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:29:45 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12365899 LI:#13362751   12/25 peers    0 bytes chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:29:45 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12366228 LI:#13362751   12/25 peers    0 bytes chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:30:30 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12366877 LI:#13362759    3/25 peers    0 bytes chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:30:30 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12367333 LI:#13362759    3/25 peers    0 bytes chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:30:35 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367333 LI:#13362759    3/25 peers     77 KiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:30:51 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367333 LI:#13362759    3/25 peers     77 KiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:30:51 UTC Syncing #13362715 0x4dc2…1005     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367333 LI:#13362759    3/25 peers     77 KiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
