2021-10-06 02:34:45 UTC Syncing #13362726 0x2ba2…6e8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#12367381 LI:#13362777    4/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:58 UTC Syncing #13362727 0x8a19…ad99     0.17 blk/s   58.3 tx/s    4.6 Mgas/s      0+   49 Qed Ancient:#12367382 LI:#13362777    1/25 peers      3 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:34:58 UTC Syncing #13362728 0x3c68…da65     0.19 blk/s   37.6 tx/s    2.9 Mgas/s      0+   48 Qed Ancient:#12367383 LI:#13362777    1/25 peers      4 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:05 UTC Syncing #13362729 0x86e4…98e2     0.20 blk/s   16.2 tx/s    1.2 Mgas/s      0+   47 Qed Ancient:#12367384 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:10 UTC Syncing #13362729 0x86e4…98e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367384 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:11 UTC Syncing #13362729 0x86e4…98e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367384 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:16 UTC Syncing #13362729 0x86e4…98e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367384 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:27 UTC Syncing #13362731 0x2787…724c     0.20 blk/s   30.6 tx/s    2.5 Mgas/s      0+   45 Qed Ancient:#12367387 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:27 UTC Syncing #13362730 0x553f…5187     0.20 blk/s   58.4 tx/s    4.6 Mgas/s      0+   46 Qed Ancient:#12367385 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:32 UTC Syncing #13362731 0x2787…724c     0.20 blk/s    2.8 tx/s    0.3 Mgas/s      0+   45 Qed Ancient:#12367387 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:35:38 UTC Syncing #13362732 0x562d…3bbd     0.20 blk/s   17.6 tx/s    4.0 Mgas/s      0+   44 Qed Ancient:#12367388 LI:#13362777    1/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
