2021-10-07 18:47:12 UTC Syncing #13373451 0x1018…8ae6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12853350 LI:#13373471   28/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:13 UTC Syncing #13373451 0x1018…8ae6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12853350 LI:#13373471   28/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:29 UTC Syncing #13373452 0x4219…f046     0.06 blk/s   32.5 tx/s    1.9 Mgas/s      0+   24 Qed Ancient:#12853351 LI:#13373474   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:45 UTC Syncing #13373452 0x4219…f046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853351 LI:#13373474   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:45 UTC Syncing #13373452 0x4219…f046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853351 LI:#13373474   23/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:48 UTC Syncing #13373452 0x4219…f046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853351 LI:#13373476   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:47:53 UTC Syncing #13373452 0x4219…f046     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853351 LI:#13373476   20/25 peers      7 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:48:15 UTC Syncing #13373453 0xd78b…1beb     0.10 blk/s   44.2 tx/s    3.0 Mgas/s      0+   25 Qed Ancient:#12853353 LI:#13373476   19/25 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:48:15 UTC Syncing #13373453 0xd78b…1beb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12853353 LI:#13373476   19/25 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:48:15 UTC Syncing #13373453 0xd78b…1beb     0.20 blk/s   88.4 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12853353 LI:#13373476   19/25 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:48:18 UTC Syncing #13373453 0xd78b…1beb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853353 LI:#13373477   14/25 peers      7 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
