2021-10-07 21:33:22 UTC Syncing #13374218 0xc7e3…ecc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890290 LI:#13374226   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:27 UTC Syncing #13374218 0xc7e3…ecc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12890290 LI:#13374227   10/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:33 UTC Syncing #13374218 0xc7e3…ecc9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12890290 LI:#13374227   11/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:37 UTC Syncing #13374220 0xe78d…c98f     0.40 blk/s   80.4 tx/s    4.8 Mgas/s      0+    6 Qed Ancient:#12890292 LI:#13374227   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:42 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12890292 LI:#13374227   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:47 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12890292 LI:#13374227    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:52 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12890292 LI:#13374227    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:33:57 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12890292 LI:#13374227    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:34:02 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890292 LI:#13374228   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:34:07 UTC Syncing #13374220 0xe78d…c98f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890292 LI:#13374228   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:35:25 UTC Syncing #13374221 0xdafe…edb9     0.04 blk/s   16.6 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#12890292 LI:#13374231    9/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
