2021-10-06 03:25:45 UTC Syncing #13363006 0x37b2…b877     0.20 blk/s   53.4 tx/s    3.6 Mgas/s      0+    5 Qed Ancient:#12373342 LI:#13363012   33/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:25:51 UTC Syncing #13363007 0x3d47…7ba0     0.20 blk/s   45.4 tx/s    4.2 Mgas/s      0+    4 Qed Ancient:#12373343 LI:#13363012   33/50 peers      5 MiB chain  748 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:25:55 UTC Syncing #13363007 0x3d47…7ba0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12373343 LI:#13363013   32/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:26:00 UTC Syncing #13363008 0x49fd…06c7     0.20 blk/s   91.4 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12373344 LI:#13363014   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:26:05 UTC Syncing #13363009 0xd22b…04e8     0.20 blk/s    5.4 tx/s    0.5 Mgas/s      0+    4 Qed Ancient:#12373345 LI:#13363014   30/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:26:22 UTC Imported #13363014 0x2500…96e0 (30 txs, 3.02 Mgas, 760 ms, 14.93 KiB)
2021-10-06 03:26:35 UTC  Ancient:#12374413 AB:#12377378   30/50 peers    143 KiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:27:17 UTC Imported #13363016 0x14d4…43b6 (159 txs, 15.58 Mgas, 9245 ms, 105.19 KiB)
2021-10-06 03:27:26 UTC  Ancient:#12375487 AB:#12377761   27/50 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:27:26 UTC  Ancient:#12375488 AB:#12377761   27/50 peers     71 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:27:45 UTC Syncing #13363016 0x14d4…43b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12375534 LI:#13363020   23/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
