2021-10-06 03:41:50 UTC Syncing #13363043 0x5eb4…cf11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12378926 LI:#13363088    3/25 peers      7 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:41:55 UTC Syncing #13363043 0x5eb4…cf11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12378926 LI:#13363089    5/25 peers      7 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:00 UTC Syncing #13363043 0x5eb4…cf11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12378926 LI:#13363089    6/25 peers      8 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:17 UTC Syncing #13363044 0x519f…1568     0.07 blk/s   37.2 tx/s    2.0 Mgas/s      0+   47 Qed Ancient:#12378927 LI:#13363092    5/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:17 UTC Syncing #13363044 0x519f…1568     0.20 blk/s  111.6 tx/s    6.0 Mgas/s      0+   47 Qed Ancient:#12378927 LI:#13363092    5/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:17 UTC Syncing #13363044 0x519f…1568     0.10 blk/s   55.8 tx/s    3.0 Mgas/s      0+   47 Qed Ancient:#12378927 LI:#13363092    5/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:20 UTC Syncing #13363044 0x519f…1568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12378927 LI:#13363092    4/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:25 UTC Syncing #13363044 0x519f…1568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#12378927 LI:#13363092    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:30 UTC Syncing #13363044 0x519f…1568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#12378927 LI:#13363092    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:35 UTC Syncing #13363044 0x519f…1568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#12378927 LI:#13363092    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:42:40 UTC Syncing #13363045 0x703b…f15f     0.20 blk/s   75.4 tx/s    5.9 Mgas/s      0+   48 Qed Ancient:#12378929 LI:#13363092    6/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
