2021-10-06 03:46:47 UTC Syncing #13363062 0x8c39…2564     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12378951 LI:#13363117   16/25 peers    909 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:50 UTC Syncing #13363063 0x6c16…8622     0.20 blk/s   38.8 tx/s    2.8 Mgas/s      0+   55 Qed Ancient:#12378952 LI:#13363117   16/25 peers    979 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:00 UTC Syncing #13363064 0x2b07…893d     0.20 blk/s   24.2 tx/s    2.0 Mgas/s      0+   55 Qed Ancient:#12378953 LI:#13363118   16/25 peers    980 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:00 UTC Syncing #13363064 0x2b07…893d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12378953 LI:#13363121   15/25 peers    980 KiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:17 UTC Syncing #13363068 0x54f6…400b     0.26 blk/s   36.8 tx/s    3.5 Mgas/s      0+   58 Qed Ancient:#12379094 LI:#13363124   12/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:17 UTC Syncing #13363067 0xc5ae…aaad     0.23 blk/s   30.3 tx/s    2.3 Mgas/s      0+   58 Qed Ancient:#12378956 LI:#13363124   12/25 peers      1 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:21 UTC Syncing #13363070 0x5266…f2e0     0.67 blk/s   56.8 tx/s    6.6 Mgas/s      0+   55 Qed Ancient:#12379096 LI:#13363124   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:26 UTC Syncing #13363070 0x5266…f2e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12379096 LI:#13363124   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:31 UTC Syncing #13363071 0x483f…1a62     0.20 blk/s   81.6 tx/s    6.0 Mgas/s      0+   55 Qed Ancient:#12379097 LI:#13363125   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:36 UTC Syncing #13363071 0x483f…1a62     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12379097 LI:#13363126   11/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:43 UTC Syncing #13363072 0x0843…a4bb     0.20 blk/s   47.4 tx/s    6.0 Mgas/s      0+   55 Qed Ancient:#12379098 LI:#13363126   11/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
