2021-10-07 21:28:24 UTC Syncing #13374186 0xdea4…8c43     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12888375 LI:#13374199   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:26 UTC Syncing #13374186 0xdea4…8c43     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12888375 LI:#13374199   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:37 UTC Syncing #13374187 0xa28d…d986     0.20 blk/s   64.8 tx/s    4.7 Mgas/s      0+   11 Qed Ancient:#12888376 LI:#13374200   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:37 UTC Syncing #13374188 0x442b…b79a     0.20 blk/s   49.0 tx/s    3.5 Mgas/s      0+   10 Qed Ancient:#12888377 LI:#13374200   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:42 UTC Syncing #13374189 0x8b05…8470     0.20 blk/s   19.0 tx/s    0.8 Mgas/s      0+   10 Qed Ancient:#12888378 LI:#13374200   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:46 UTC Syncing #13374189 0x8b05…8470     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12888378 LI:#13374201   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:52 UTC Syncing #13374192 0xffee…e8a1     0.60 blk/s   94.4 tx/s    6.5 Mgas/s      0+    9 Qed Ancient:#12888381 LI:#13374201   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:28:58 UTC Syncing #13374193 0x6830…0f08     0.20 blk/s   23.2 tx/s    1.5 Mgas/s      0+   10 Qed Ancient:#12888382 LI:#13374202   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:05 UTC Syncing #13374193 0x6830…0f08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12888382 LI:#13374202   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:06 UTC Syncing #13374193 0x6830…0f08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12888382 LI:#13374202   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:17 UTC Syncing #13374194 0x7ccd…fa46     0.20 blk/s  105.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12888383 LI:#13374203   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:17 UTC Syncing #13374194 0x7ccd…fa46     0.10 blk/s   52.7 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#12888383 LI:#13374203   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:28 UTC Syncing #13374195 0x0c5f…27e6     0.20 blk/s   82.6 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12888385 LI:#13374205   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:28 UTC Syncing #13374195 0x0c5f…27e6     0.10 blk/s   41.3 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#12888385 LI:#13374205   21/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:32 UTC Syncing #13374195 0x0c5f…27e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12888385 LI:#13374206   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:37 UTC Syncing #13374195 0x0c5f…27e6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12888385 LI:#13374207   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:45 UTC Syncing #13374196 0xf237…bb17     0.20 blk/s   39.2 tx/s    3.7 Mgas/s      0+   13 Qed Ancient:#12888386 LI:#13374207   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:50 UTC Syncing #13374198 0x61ad…ec6b     0.40 blk/s   44.2 tx/s    3.5 Mgas/s      0+   12 Qed Ancient:#12888388 LI:#13374208   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:54 UTC Syncing #13374199 0x0bc2…2dec     0.20 blk/s   36.4 tx/s    3.6 Mgas/s      0+   11 Qed Ancient:#12888389 LI:#13374209   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:29:59 UTC Syncing #13374202 0x29aa…3fe5     1.00 blk/s  119.0 tx/s    9.8 Mgas/s      0+    7 Qed Ancient:#12888394 LI:#13374209   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:30:04 UTC Syncing #13374202 0x29aa…3fe5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12888394 LI:#13374209   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:30:07 UTC Reorg to #13374204 0x0dbc…0439 (0x09bc…3ee9 #13374202 0x29aa…3fe5 0x1c1c…de29)
2021-10-07 21:30:09 UTC Syncing #13374203 0x09bc…3ee9     0.40 blk/s  156.2 tx/s   11.6 Mgas/s      0+    6 Qed Ancient:#12888396 LI:#13374210   19/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:30:14 UTC Syncing #13374205 0x12d5…31e2     0.40 blk/s   19.8 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#12888398 LI:#13374210   19/25 peers      6 MiB chain  707 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:30:26 UTC Updated conversion rate to Ξ1 = US$3635.63 (1309788 wei/gas)
2021-10-07 21:31:00 UTC Imported #13374210 0x3084…1df9 (168 txs, 12.90 Mgas, 2569 ms, 62.96 KiB)
2021-10-07 21:31:33 UTC Syncing #13374211 0x6bca…bcfc     0.07 blk/s   15.4 tx/s    1.3 Mgas/s      0+    7 Qed Ancient:#12890097 LI:#13374218   13/25 peers   432 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:44 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12890281 LI:#13374219    7/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:46 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890281 LI:#13374219    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:46 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890281 LI:#13374219    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:46 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890281 LI:#13374219    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:51 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890281 LI:#13374219    6/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:31:56 UTC Syncing #13374211 0x6bca…bcfc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12890281 LI:#13374219    6/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
