2021-10-06 01:38:21 UTC Syncing #13362491 0x8527…686a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12351694 LI:#13362496   26/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:26 UTC Syncing #13362491 0x8527…686a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12351694 LI:#13362496   26/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:31 UTC Syncing #13362491 0x8527…686a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12351694 LI:#13362496   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:36 UTC Syncing #13362492 0x96ac…9530     0.20 blk/s   62.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12351695 LI:#13362498   24/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:41 UTC Syncing #13362492 0x96ac…9530     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12351695 LI:#13362499   27/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:46 UTC Syncing #13362492 0x96ac…9530     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12351695 LI:#13362499   27/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:52 UTC Syncing #13362494 0x751f…ada9     0.40 blk/s   67.2 tx/s    4.9 Mgas/s      0+    6 Qed Ancient:#12351697 LI:#13362499   28/50 peers      3 MiB chain  801 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:38:56 UTC Syncing #13362494 0x751f…ada9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12351697 LI:#13362499   28/50 peers      3 MiB chain  801 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:39:01 UTC Syncing #13362494 0x751f…ada9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12351697 LI:#13362500   28/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:39:06 UTC Syncing #13362494 0x751f…ada9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12351697 LI:#13362501   28/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:39:11 UTC Syncing #13362494 0x751f…ada9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12351697 LI:#13362501   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:39:16 UTC Syncing #13362494 0x751f…ada9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12351697 LI:#13362501   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
