2021-10-06 01:52:36 UTC Syncing #13362555 0xb3db…7251     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12354691 LI:#13362563   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:52:41 UTC Syncing #13362555 0xb3db…7251     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12354691 LI:#13362563   13/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:52:46 UTC Syncing #13362555 0xb3db…7251     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12354691 LI:#13362563   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:52:54 UTC Syncing #13362556 0xb18a…acbf     0.20 blk/s   71.4 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12354692 LI:#13362564   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:52:56 UTC Syncing #13362557 0x11b7…9d19     0.20 blk/s    5.4 tx/s    0.9 Mgas/s      0+    7 Qed Ancient:#12354693 LI:#13362564   19/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:53:01 UTC Syncing #13362558 0xa005…1338     0.20 blk/s    1.6 tx/s    0.3 Mgas/s      0+    8 Qed Ancient:#12354694 LI:#13362566   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:53:10 UTC Syncing #13362558 0xa005…1338     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12354694 LI:#13362567   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:53:11 UTC Syncing #13362558 0xa005…1338     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12354694 LI:#13362567   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:53:16 UTC Syncing #13362558 0xa005…1338     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12354694 LI:#13362567   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:53:21 UTC Syncing #13362558 0xa005…1338     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12354694 LI:#13362567   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:54:25 UTC Syncing #13362558 0xa005…1338     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12354694 LI:#13362569   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
