2021-10-06 01:58:02 UTC Syncing #13362569 0x6a71…51f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355827 LI:#13362588   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:02 UTC Syncing #13362569 0x6a71…51f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355827 LI:#13362588   12/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:13 UTC Syncing #13362570 0xeff8…7991     0.10 blk/s   42.3 tx/s    3.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:13 UTC Syncing #13362570 0xeff8…7991     0.20 blk/s   84.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:16 UTC Syncing #13362570 0xeff8…7991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12355829 LI:#13362589    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:21 UTC Syncing #13362570 0xeff8…7991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355829 LI:#13362590    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:30 UTC Syncing #13362571 0xcca8…38cf     0.20 blk/s   62.8 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   10/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:31 UTC Syncing #13362571 0xcca8…38cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   11/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:58:49 UTC Syncing #13362571 0xcca8…38cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12355830 LI:#13362591   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:59:13 UTC Syncing #13362572 0x535e…6feb     0.04 blk/s    8.6 tx/s    0.9 Mgas/s      0+   24 Qed Ancient:#12356075 LI:#13362595   13/25 peers     12 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:59:44 UTC Syncing #13362572 0x535e…6feb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12356710 LI:#13362596    9/25 peers    0 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
