2021-10-07 17:25:40 UTC Syncing #13373113 0x5a34…bb00     0.20 blk/s   89.8 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#12833075 LI:#13373122    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:25:44 UTC Reorg to #13373115 0x631b…cfea (0xa2c4…0509 #13373113 0x5a34…bb00 0x22c9…ca79)
2021-10-07 17:25:49 UTC Syncing #13373115 0x631b…cfea     0.60 blk/s  123.0 tx/s    8.4 Mgas/s      0+    6 Qed Ancient:#12833078 LI:#13373122    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:25:50 UTC Syncing #13373115 0x631b…cfea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12833078 LI:#13373122    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:25:57 UTC Syncing #13373116 0x1292…5ef3     0.20 blk/s   85.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12833079 LI:#13373124    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:26:02 UTC Syncing #13373117 0xd97d…9577     0.20 blk/s   37.8 tx/s    2.8 Mgas/s      0+    6 Qed Ancient:#12833080 LI:#13373125    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:26:06 UTC Syncing #13373120 0x67ae…d308     0.60 blk/s   98.8 tx/s    6.3 Mgas/s      0+    4 Qed Ancient:#12833083 LI:#13373125    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:26:38 UTC  Ancient:#12833088 AB:#12836373    3/25 peers      3 MiB chain  239 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:26:57 UTC Imported #13373127 0x1d1d…7647 (155 txs, 10.15 Mgas, 4778 ms, 71.66 KiB)
2021-10-07 17:27:05 UTC  Ancient:#12834866 AB:#12836373    3/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:27:20 UTC Syncing #13373128 0xb636…8872     0.07 blk/s   22.4 tx/s    1.6 Mgas/s      0+    1 Qed Ancient:#12834867 LI:#13373130    4/25 peers      2 MiB chain  382 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:27:51 UTC  Ancient:#12834869 AB:#12836488    4/25 peers      8 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:28:09 UTC Updated conversion rate to Ξ1 = US$3624.27 (1313893.4 wei/gas)
2021-10-07 17:29:11 UTC Imported #13373131 0x4db6…8cbf (300 txs, 18.76 Mgas, 23112 ms, 128.26 KiB)
2021-10-07 17:29:11 UTC  Ancient:#12835795 AB:#12836509    3/25 peers   432 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:11 UTC  Ancient:#12835894 AB:#12836509    3/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:15 UTC Syncing #13373131 0x4db6…8cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835898 LI:#13373136    3/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:20 UTC Syncing #13373131 0x4db6…8cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835898 LI:#13373136    3/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:25 UTC Syncing #13373131 0x4db6…8cbf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835898 LI:#13373136    3/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:30 UTC Syncing #13373132 0xa0a0…e634     0.20 blk/s   33.6 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#12835899 LI:#13373137    3/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:35 UTC Syncing #13373132 0xa0a0…e634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835899 LI:#13373137    2/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:40 UTC Syncing #13373132 0xa0a0…e634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835899 LI:#13373137    2/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:45 UTC Syncing #13373132 0xa0a0…e634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835899 LI:#13373137    2/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:50 UTC Syncing #13373132 0xa0a0…e634     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835899 LI:#13373138    3/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:29:55 UTC Syncing #13373133 0x9285…e090     0.20 blk/s   51.6 tx/s    3.4 Mgas/s      0+    4 Qed Ancient:#12835900 LI:#13373138    4/25 peers      3 MiB chain 1013 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:25 UTC  Ancient:#12835903 AB:#12837139    6/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:35 UTC Syncing #13373135 0xef29…e6ef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12835903 LI:#13373140    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:40 UTC Syncing #13373136 0xff39…9e66     0.20 blk/s   88.4 tx/s    5.9 Mgas/s      0+    4 Qed Ancient:#12835904 LI:#13373141    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:45 UTC Syncing #13373136 0xff39…9e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835904 LI:#13373142    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:52 UTC Syncing #13373136 0xff39…9e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12835904 LI:#13373143   11/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:55 UTC Syncing #13373138 0x3b82…cce6     0.40 blk/s   46.2 tx/s    4.3 Mgas/s      0+    5 Qed Ancient:#12835907 LI:#13373144   10/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:01 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835907 LI:#13373144   14/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:05 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835907 LI:#13373147   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:10 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835907 LI:#13373147   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:16 UTC Syncing #13373139 0xa644…7100     0.20 blk/s  105.6 tx/s    5.9 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:20 UTC Syncing #13373139 0xa644…7100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   18/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:25 UTC Syncing #13373139 0xa644…7100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   23/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
