2021-10-07 20:12:58 UTC Syncing #13373838 0xef3c…88b1     0.20 blk/s   44.4 tx/s    2.5 Mgas/s      0+   40 Qed Ancient:#12873453 LI:#13373877   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:04 UTC Syncing #13373839 0xad16…7952     0.20 blk/s    8.0 tx/s    0.5 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:04 UTC Syncing #13373839 0xad16…7952     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:10 UTC Syncing #13373839 0xad16…7952     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:16 UTC Syncing #13373840 0x9a16…9f35     0.20 blk/s   58.6 tx/s    4.0 Mgas/s      0+   40 Qed Ancient:#12873455 LI:#13373879   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:20 UTC Syncing #13373840 0x9a16…9f35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873455 LI:#13373879   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:24 UTC Syncing #13373840 0x9a16…9f35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12873455 LI:#13373880   13/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:31 UTC Syncing #13373841 0x849f…3331     0.20 blk/s   79.2 tx/s    3.9 Mgas/s      0+   40 Qed Ancient:#12873456 LI:#13373880   16/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:36 UTC Syncing #13373842 0x4de1…a2f6     0.20 blk/s   15.0 tx/s    0.8 Mgas/s      0+   39 Qed Ancient:#12873457 LI:#13373880   16/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:41 UTC Syncing #13373843 0x2f94…408b     0.20 blk/s   28.0 tx/s    1.6 Mgas/s      0+   38 Qed Ancient:#12873458 LI:#13373880   16/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:48 UTC Syncing #13373843 0x2f94…408b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12873458 LI:#13373880   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
