2021-10-06 02:50:38 UTC Syncing #13362805 0x8894…dfd1     0.20 blk/s   18.8 tx/s    1.2 Mgas/s      0+   52 Qed Ancient:#12367477 LI:#13362856   46/50 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:50:43 UTC Syncing #13362805 0x8894…dfd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#12367477 LI:#13362856   45/50 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:50:48 UTC Syncing #13362807 0x3a83…c073     0.40 blk/s   55.6 tx/s    5.0 Mgas/s      0+   50 Qed Ancient:#12367479 LI:#13362856   45/50 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:50:53 UTC Syncing #13362809 0x8468…e791     0.40 blk/s   44.4 tx/s    3.4 Mgas/s      0+   48 Qed Ancient:#12367481 LI:#13362856   45/50 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:50:58 UTC Syncing #13362809 0x8468…e791     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12367481 LI:#13362856   44/50 peers      6 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:03 UTC Syncing #13362810 0xc93c…78f3     0.20 blk/s   37.2 tx/s    3.2 Mgas/s      0+   47 Qed Ancient:#12367483 LI:#13362856   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:08 UTC Syncing #13362810 0xc93c…78f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12367483 LI:#13362856   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:13 UTC Syncing #13362811 0xc15f…90cf     0.20 blk/s  123.0 tx/s    6.0 Mgas/s      0+   46 Qed Ancient:#12367484 LI:#13362856   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:18 UTC Syncing #13362812 0x20af…c979     0.20 blk/s   34.4 tx/s    2.5 Mgas/s      0+   46 Qed Ancient:#12367485 LI:#13362857   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:23 UTC Syncing #13362814 0xfd72…5848     0.40 blk/s  106.2 tx/s    3.2 Mgas/s      0+   44 Qed Ancient:#12367487 LI:#13362857   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:28 UTC Syncing #13362816 0x51c3…c53a     0.40 blk/s   47.2 tx/s    4.7 Mgas/s      0+   42 Qed Ancient:#12367489 LI:#13362857   45/50 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:33 UTC Syncing #13362816 0x51c3…c53a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367489 LI:#13362858   45/50 peers      6 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:38 UTC Syncing #13362817 0xf6ad…3293     0.20 blk/s   66.2 tx/s    5.6 Mgas/s      0+   43 Qed Ancient:#12367490 LI:#13362859   44/50 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:43 UTC Syncing #13362817 0xf6ad…3293     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12367490 LI:#13362859   44/50 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:48 UTC Syncing #13362818 0x2fae…dd20     0.20 blk/s   68.4 tx/s    5.7 Mgas/s      0+   43 Qed Ancient:#12367491 LI:#13362860   44/50 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:51:53 UTC Syncing #13362819 0xd4bd…e293     0.20 blk/s   73.0 tx/s    6.0 Mgas/s      0+   42 Qed Ancient:#12367492 LI:#13362860   44/50 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
