2021-10-06 03:05:38 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12372936 LI:#13362932   11/25 peers      2 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:05:43 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   13/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:05:48 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   13/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:05:53 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   14/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:00 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   17/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:04 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   20/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:09 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   20/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:13 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   20/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:20 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12372936 LI:#13362933   22/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:25 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12372936 LI:#13362934   22/25 peers      2 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:06:43 UTC Syncing #13362908 0x20ff…08a0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12372936 LI:#13362936   25/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
