2021-10-06 03:10:44 UTC Syncing #13362918 0x1e75…f596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373244 LI:#13362949   24/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:48 UTC Syncing #13362918 0x1e75…f596     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373244 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:54 UTC Syncing #13362919 0x8afb…4527     0.20 blk/s   57.4 tx/s    2.2 Mgas/s      0+   32 Qed Ancient:#12373246 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:10:58 UTC Syncing #13362920 0x7282…4e1b     0.20 blk/s   17.6 tx/s    1.3 Mgas/s      0+   31 Qed Ancient:#12373247 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:04 UTC Syncing #13362920 0x7282…4e1b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373247 LI:#13362950   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:08 UTC Syncing #13362921 0xef1f…d335     0.20 blk/s   30.8 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   23/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:13 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   22/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:18 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:23 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:28 UTC Syncing #13362921 0xef1f…d335     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12373248 LI:#13362951   24/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:33 UTC Syncing #13362922 0xd59d…bc59     0.20 blk/s   63.2 tx/s    4.6 Mgas/s      0+   31 Qed Ancient:#12373249 LI:#13362952   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:43 UTC Syncing #13362923 0xfc04…afa9     0.20 blk/s   19.8 tx/s    1.1 Mgas/s      0+   30 Qed Ancient:#12373250 LI:#13362952   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:43 UTC Syncing #13362923 0xfc04…afa9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373250 LI:#13362952   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:48 UTC Syncing #13362923 0xfc04…afa9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373250 LI:#13362952   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:58 UTC Syncing #13362925 0x7040…d666     0.20 blk/s   37.0 tx/s    1.6 Mgas/s      0+   28 Qed Ancient:#12373252 LI:#13362952   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:11:58 UTC Syncing #13362925 0x7040…d666     0.40 blk/s   74.0 tx/s    3.1 Mgas/s      0+   28 Qed Ancient:#12373252 LI:#13362952   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:06 UTC Syncing #13362925 0x7040…d666     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373252 LI:#13362954   24/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:08 UTC Syncing #13362925 0x7040…d666     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373252 LI:#13362954   24/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:13 UTC Syncing #13362925 0x7040…d666     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12373252 LI:#13362955   24/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:20 UTC Syncing #13362926 0xd127…154a     0.20 blk/s   61.4 tx/s    4.8 Mgas/s      0+   31 Qed Ancient:#12373253 LI:#13362956   28/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:23 UTC Syncing #13362927 0xaeeb…1a87     0.20 blk/s    9.1 tx/s    0.8 Mgas/s      0+   32 Qed Ancient:#12373253 LI:#13362957   28/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:40 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:44 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:44 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   25/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:51 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12373254 LI:#13362958   26/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:12:53 UTC Syncing #13362927 0xaeeb…1a87     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12373254 LI:#13362959   27/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:01 UTC Syncing #13362928 0xd4d0…3e20     0.20 blk/s   38.2 tx/s    2.9 Mgas/s      0+   33 Qed Ancient:#12373255 LI:#13362960   27/50 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:13:03 UTC Syncing #13362928 0xd4d0…3e20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12373255 LI:#13362963   25/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
