2021-10-07 20:07:58 UTC Reorg to #13373825 0xe38e…9a58 (0x7087…c9e3 #13373823 0x0404…e3ed 0xc9c5…937a)
2021-10-07 20:08:01 UTC Syncing #13373825 0xe38e…9a58     0.20 blk/s   39.2 tx/s    2.1 Mgas/s      0+   30 Qed Ancient:#12872553 LI:#13373854    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:05 UTC Syncing #13373825 0xe38e…9a58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12872553 LI:#13373855    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:18 UTC Syncing #13373826 0x77a8…62c4     0.20 blk/s   33.2 tx/s    1.9 Mgas/s      0+   30 Qed Ancient:#12872554 LI:#13373855    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:18 UTC Syncing #13373826 0x77a8…62c4     0.10 blk/s   16.6 tx/s    1.0 Mgas/s      0+   30 Qed Ancient:#12872554 LI:#13373855    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:20 UTC Syncing #13373826 0x77a8…62c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12872554 LI:#13373856    6/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:25 UTC Syncing #13373826 0x77a8…62c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12872554 LI:#13373856    8/25 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:29 UTC Syncing #13373826 0x77a8…62c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12872554 LI:#13373856    8/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:34 UTC Syncing #13373826 0x77a8…62c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12872554 LI:#13373857    8/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:39 UTC Syncing #13373826 0x77a8…62c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12872554 LI:#13373857   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:44 UTC Syncing #13373827 0x1dd6…3a59     0.20 blk/s   80.8 tx/s    5.5 Mgas/s      0+   31 Qed Ancient:#12872555 LI:#13373857   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:08:55 UTC Syncing #13373827 0x1dd6…3a59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12872555 LI:#13373857   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
